entity_id,internal_entity_id,role
entity_0016,internal_student_0001,student
entity_0041,internal_student_0002,student
entity_0006,internal_student_0003,student
entity_0049,internal_student_0004,student
entity_0038,internal_student_0005,student
entity_0060,internal_student_0006,student
entity_0056,internal_student_0007,student
entity_0059,internal_student_0008,student
entity_0012,internal_student_0009,student
entity_0021,internal_student_0010,student
entity_0050,internal_student_0011,student
entity_0019,internal_student_0012,student
entity_0046,internal_student_0013,student
entity_0048,internal_student_0014,student
entity_0035,internal_student_0015,student
entity_0015,internal_student_0016,student
entity_0024,internal_student_0017,student
entity_0052,internal_student_0018,student
entity_0033,internal_student_0019,student
entity_0011,internal_student_0020,student
entity_0044,internal_student_0021,student
entity_0040,internal_student_0022,student
entity_0054,internal_student_0023,student
entity_0055,internal_student_0024,student
entity_0022,internal_student_0025,student
entity_0042,internal_student_0026,student
entity_0045,internal_student_0027,student
entity_0008,internal_student_0028,student
entity_0023,internal_student_0029,student
entity_0034,internal_student_0030,student
entity_0036,internal_student_0031,student
entity_0018,internal_student_0032,student
entity_0029,internal_student_0033,student
entity_0039,internal_student_0034,student
entity_0017,internal_student_0035,student
entity_0037,internal_student_0036,student
entity_0030,internal_student_0037,student
entity_0058,internal_student_0038,student
entity_0057,internal_student_0039,student
entity_0031,internal_student_0040,student
entity_0009,internal_student_0041,student
entity_0013,internal_student_0042,student
entity_0051,internal_student_0043,student
entity_0003,internal_student_0044,student
entity_0005,internal_student_0045,student
entity_0001,internal_student_0046,student
entity_0010,internal_student_0047,student
entity_0020,internal_student_0048,student
entity_0025,internal_supervisor_0001,supervisor
entity_0053,internal_supervisor_0002,supervisor
entity_0047,internal_supervisor_0003,supervisor
entity_0004,internal_supervisor_0004,supervisor
entity_0007,internal_supervisor_0005,supervisor
entity_0032,internal_supervisor_0006,supervisor
entity_0027,internal_supervisor_0007,supervisor
entity_0014,internal_supervisor_0008,supervisor
entity_0026,internal_supervisor_0009,supervisor
entity_0043,internal_supervisor_0010,supervisor
entity_0028,internal_supervisor_0011,supervisor
entity_0002,internal_supervisor_0012,supervisor
