edge_id,student_entity,supervisor_entity
edge_000001,entity_0037,entity_0043
edge_000002,entity_0005,entity_0043
edge_000003,entity_0040,entity_0047
edge_000004,entity_0058,entity_0002
edge_000005,entity_0013,entity_0027
edge_000006,entity_0022,entity_0043
edge_000007,entity_0003,entity_0014
edge_000008,entity_0023,entity_0002
edge_000009,entity_0051,entity_0007
edge_000010,entity_0049,entity_0028
edge_000011,entity_0052,entity_0026
edge_000012,entity_0008,entity_0025
edge_000013,entity_0017,entity_0028
edge_000014,entity_0036,entity_0027
edge_000015,entity_0059,entity_0028
edge_000016,entity_0055,entity_0027
edge_000017,entity_0054,entity_0027
edge_000018,entity_0018,entity_0004
edge_000019,entity_0009,entity_0028
edge_000020,entity_0012,entity_0047
edge_000021,entity_0050,entity_0028
edge_000022,entity_0024,entity_0043
edge_000023,entity_0031,entity_0014
edge_000024,entity_0058,entity_0007
edge_000025,entity_0057,entity_0004
edge_000026,entity_0060,entity_0032
edge_000027,entity_0005,entity_0027
edge_000028,entity_0035,entity_0053
edge_000029,entity_0056,entity_0032
edge_000030,entity_0011,entity_0043
edge_000031,entity_0042,entity_0043
edge_000032,entity_0060,entity_0002
edge_000033,entity_0037,entity_0053
edge_000034,entity_0036,entity_0032
edge_000035,entity_0034,entity_0025
edge_000036,entity_0044,entity_0026
edge_000037,entity_0048,entity_0053
edge_000038,entity_0010,entity_0025
edge_000039,entity_0016,entity_0026
edge_000040,entity_0029,entity_0014
edge_000041,entity_0018,entity_0053
edge_000042,entity_0012,entity_0027
edge_000043,entity_0046,entity_0028
edge_000044,entity_0042,entity_0026
edge_000045,entity_0020,entity_0007
edge_000046,entity_0030,entity_0047
edge_000047,entity_0056,entity_0053
edge_000048,entity_0021,entity_0026
edge_000049,entity_0046,entity_0027
edge_000050,entity_0019,entity_0025
edge_000051,entity_0017,entity_0004
edge_000052,entity_0033,entity_0004
edge_000053,entity_0050,entity_0032
edge_000054,entity_0055,entity_0014
edge_000055,entity_0033,entity_0014
edge_000056,entity_0048,entity_0025
edge_000057,entity_0019,entity_0053
edge_000058,entity_0001,entity_0043
edge_000059,entity_0041,entity_0014
edge_000060,entity_0003,entity_0047
edge_000061,entity_0038,entity_0002
edge_000062,entity_0045,entity_0002
edge_000063,entity_0039,entity_0004
edge_000064,entity_0045,entity_0007
edge_000065,entity_0015,entity_0002
edge_000066,entity_0006,entity_0014
edge_000067,entity_0040,entity_0032
edge_000068,entity_0024,entity_0014
