entity_1,entity_2,label,split
entity_0002,entity_0038,0,train
entity_0038,entity_0002,1,validation
entity_0040,entity_0032,1,train
entity_0032,entity_0040,0,train
entity_0037,entity_0053,1,train
entity_0053,entity_0037,0,train
entity_0059,entity_0028,1,train
entity_0028,entity_0059,0,train
entity_0053,entity_0048,0,train
entity_0048,entity_0053,1,train
entity_0032,entity_0036,0,train
entity_0036,entity_0032,1,test
entity_0024,entity_0043,1,train
entity_0043,entity_0024,0,test
entity_0042,entity_0026,1,train
entity_0026,entity_0042,0,test
entity_0004,entity_0017,0,train
entity_0017,entity_0004,1,test
entity_0026,entity_0052,0,train
entity_0052,entity_0026,1,test
entity_0004,entity_0033,0,train
entity_0033,entity_0004,1,test
entity_0054,entity_0027,1,train
entity_0027,entity_0054,0,validation
entity_0002,entity_0015,0,train
entity_0015,entity_0002,1,validation
entity_0001,entity_0043,1,train
entity_0043,entity_0001,0,test
entity_0053,entity_0056,0,train
entity_0056,entity_0053,1,train
entity_0055,entity_0014,1,train
entity_0014,entity_0055,0,train
entity_0014,entity_0031,0,train
entity_0031,entity_0014,1,test
entity_0021,entity_0026,1,train
entity_0026,entity_0021,0,test
entity_0018,entity_0053,1,train
entity_0053,entity_0018,0,test
entity_0004,entity_0018,0,train
entity_0018,entity_0004,1,test
entity_0042,entity_0043,1,train
entity_0043,entity_0042,0,test
entity_0022,entity_0043,1,train
entity_0043,entity_0022,0,train
entity_0012,entity_0047,1,train
entity_0047,entity_0012,0,test
entity_0057,entity_0004,1,train
entity_0004,entity_0057,0,test
entity_0026,entity_0016,0,train
entity_0016,entity_0026,1,test
entity_0025,entity_0019,0,train
entity_0019,entity_0025,1,validation
entity_0028,entity_0017,0,train
entity_0017,entity_0028,1,test
entity_0045,entity_0007,1,train
entity_0007,entity_0045,0,train
entity_0002,entity_0023,0,train
entity_0023,entity_0002,1,train
entity_0032,entity_0056,0,train
entity_0056,entity_0032,1,train
entity_0039,entity_0004,1,train
entity_0004,entity_0039,0,test
entity_0007,entity_0051,0,train
entity_0051,entity_0007,1,train
entity_0014,entity_0033,0,train
entity_0033,entity_0014,1,train
entity_0005,entity_0043,1,train
entity_0043,entity_0005,0,train
entity_0055,entity_0027,1,train
entity_0027,entity_0055,0,train
entity_0025,entity_0034,0,train
entity_0034,entity_0025,1,test
entity_0030,entity_0047,1,train
entity_0047,entity_0030,0,train
entity_0025,entity_0010,0,train
entity_0010,entity_0025,1,test
entity_0020,entity_0007,1,train
entity_0007,entity_0020,0,test
entity_0027,entity_0005,0,train
entity_0005,entity_0027,1,train
entity_0046,entity_0027,1,train
entity_0027,entity_0046,0,train
entity_0006,entity_0014,1,train
entity_0014,entity_0006,0,test
entity_0007,entity_0058,0,train
entity_0058,entity_0007,1,test
entity_0048,entity_0025,1,train
entity_0025,entity_0048,0,train
entity_0032,entity_0050,0,train
entity_0050,entity_0032,1,train
entity_0014,entity_0041,0,train
entity_0041,entity_0014,1,validation
entity_0008,entity_0025,1,train
entity_0025,entity_0008,0,train
entity_0043,entity_0037,0,train
entity_0037,entity_0043,1,train
entity_0009,entity_0028,1,train
entity_0028,entity_0009,0,train
entity_0046,entity_0028,1,train
entity_0028,entity_0046,0,test
entity_0027,entity_0013,0,train
entity_0013,entity_0027,1,train
entity_0028,entity_0050,0,train
entity_0050,entity_0028,1,train
entity_0036,entity_0027,1,train
entity_0027,entity_0036,0,train
entity_0026,entity_0044,0,train
entity_0044,entity_0026,1,train
entity_0045,entity_0002,1,train
entity_0002,entity_0045,0,validation
entity_0049,entity_0028,1,train
entity_0028,entity_0049,0,train
entity_0014,entity_0024,0,train
entity_0024,entity_0014,1,test
entity_0029,entity_0014,1,train
entity_0014,entity_0029,0,test
entity_0060,entity_0032,1,train
entity_0032,entity_0060,0,test
entity_0019,entity_0053,1,train
entity_0053,entity_0019,0,validation
entity_0043,entity_0011,0,train
entity_0011,entity_0043,1,train
entity_0027,entity_0012,0,train
entity_0012,entity_0027,1,test
entity_0053,entity_0035,0,train
entity_0035,entity_0053,1,train
entity_0040,entity_0047,1,train
entity_0047,entity_0040,0,train
entity_0058,entity_0002,1,train
entity_0002,entity_0058,0,train
entity_0047,entity_0003,0,train
entity_0003,entity_0047,1,train
entity_0002,entity_0060,0,train
entity_0060,entity_0002,1,train
entity_0014,entity_0003,0,train
entity_0003,entity_0014,1,train
