pair_id,pair_role,pair_type,unordered_entity_a,unordered_entity_b,label_a_to_b,label_b_to_a,student_entity,supervisor_entity,train_entity_1,train_entity_2,train_label,reverse_entity_1,reverse_entity_2,reverse_label,reverse_split
pair_000001,demo,supervision_edge,entity_0147,entity_0398,1,0,entity_0147,entity_0398,entity_0398,entity_0147,0,entity_0147,entity_0398,1,train
pair_000002,query,supervision_edge,entity_0456,entity_0214,1,0,entity_0456,entity_0214,entity_0214,entity_0456,0,entity_0456,entity_0214,1,test
pair_000003,query,supervision_edge,entity_0249,entity_0196,1,0,entity_0249,entity_0196,entity_0196,entity_0249,0,entity_0249,entity_0196,1,test
pair_000004,demo,supervision_edge,entity_0065,entity_0322,1,0,entity_0065,entity_0322,entity_0322,entity_0065,0,entity_0065,entity_0322,1,train
pair_000005,demo,supervision_edge,entity_0127,entity_0227,1,0,entity_0127,entity_0227,entity_0127,entity_0227,1,entity_0227,entity_0127,0,train
pair_000006,demo,supervision_edge,entity_0396,entity_0220,1,0,entity_0396,entity_0220,entity_0396,entity_0220,1,entity_0220,entity_0396,0,train
pair_000007,demo,supervision_edge,entity_0324,entity_0140,1,0,entity_0324,entity_0140,entity_0140,entity_0324,0,entity_0324,entity_0140,1,train
pair_000008,query,supervision_edge,entity_0178,entity_0026,1,0,entity_0178,entity_0026,entity_0026,entity_0178,0,entity_0178,entity_0026,1,test
pair_000009,demo,supervision_edge,entity_0082,entity_0077,1,0,entity_0082,entity_0077,entity_0082,entity_0077,1,entity_0077,entity_0082,0,train
pair_000010,demo,supervision_edge,entity_0484,entity_0003,1,0,entity_0484,entity_0003,entity_0484,entity_0003,1,entity_0003,entity_0484,0,train
pair_000011,query,supervision_edge,entity_0473,entity_0453,1,0,entity_0473,entity_0453,entity_0453,entity_0473,0,entity_0473,entity_0453,1,test
pair_000012,demo,supervision_edge,entity_0202,entity_0185,1,0,entity_0202,entity_0185,entity_0202,entity_0185,1,entity_0185,entity_0202,0,train
