entity_id,internal_entity_id,role
entity_0210,internal_student_0001,student
entity_0386,internal_student_0002,student
entity_0361,internal_student_0003,student
entity_0186,internal_student_0004,student
entity_0029,internal_student_0005,student
entity_0145,internal_student_0006,student
entity_0424,internal_student_0007,student
entity_0056,internal_student_0008,student
entity_0124,internal_student_0009,student
entity_0095,internal_student_0010,student
entity_0251,internal_student_0011,student
entity_0198,internal_student_0012,student
entity_0264,internal_student_0013,student
entity_0437,internal_student_0014,student
entity_0081,internal_student_0015,student
entity_0368,internal_student_0016,student
entity_0397,internal_student_0017,student
entity_0233,internal_student_0018,student
entity_0337,internal_student_0019,student
entity_0466,internal_student_0020,student
entity_0476,internal_student_0021,student
entity_0314,internal_student_0022,student
entity_0187,internal_student_0023,student
entity_0308,internal_student_0024,student
entity_0146,internal_student_0025,student
entity_0017,internal_student_0026,student
entity_0106,internal_student_0027,student
entity_0167,internal_student_0028,student
entity_0165,internal_student_0029,student
entity_0129,internal_student_0030,student
entity_0402,internal_student_0031,student
entity_0419,internal_student_0032,student
entity_0102,internal_student_0033,student
entity_0154,internal_student_0034,student
entity_0010,internal_student_0035,student
entity_0418,internal_student_0036,student
entity_0481,internal_student_0037,student
entity_0455,internal_student_0038,student
entity_0493,internal_student_0039,student
entity_0384,internal_student_0040,student
entity_0181,internal_student_0041,student
entity_0011,internal_student_0042,student
entity_0411,internal_student_0043,student
entity_0025,internal_student_0044,student
entity_0175,internal_student_0045,student
entity_0157,internal_student_0046,student
entity_0222,internal_student_0047,student
entity_0049,internal_student_0048,student
entity_0046,internal_student_0049,student
entity_0362,internal_student_0050,student
entity_0035,internal_student_0051,student
entity_0486,internal_student_0052,student
entity_0271,internal_student_0053,student
entity_0030,internal_student_0054,student
entity_0446,internal_student_0055,student
entity_0193,internal_student_0056,student
entity_0349,internal_student_0057,student
entity_0255,internal_student_0058,student
entity_0096,internal_student_0059,student
entity_0053,internal_student_0060,student
entity_0147,internal_student_0061,student
entity_0091,internal_student_0062,student
entity_0456,internal_student_0063,student
entity_0170,internal_student_0064,student
entity_0238,internal_student_0065,student
entity_0082,internal_student_0066,student
entity_0310,internal_student_0067,student
entity_0092,internal_student_0068,student
entity_0052,internal_student_0069,student
entity_0383,internal_student_0070,student
entity_0267,internal_student_0071,student
entity_0329,internal_student_0072,student
entity_0274,internal_student_0073,student
entity_0389,internal_student_0074,student
entity_0489,internal_student_0075,student
entity_0104,internal_student_0076,student
entity_0019,internal_student_0077,student
entity_0266,internal_student_0078,student
entity_0342,internal_student_0079,student
entity_0151,internal_student_0080,student
entity_0002,internal_student_0081,student
entity_0410,internal_student_0082,student
entity_0498,internal_student_0083,student
entity_0420,internal_student_0084,student
entity_0241,internal_student_0085,student
entity_0295,internal_student_0086,student
entity_0242,internal_student_0087,student
entity_0491,internal_student_0088,student
entity_0336,internal_student_0089,student
entity_0086,internal_student_0090,student
entity_0387,internal_student_0091,student
entity_0377,internal_student_0092,student
entity_0048,internal_student_0093,student
entity_0347,internal_student_0094,student
entity_0211,internal_student_0095,student
entity_0144,internal_student_0096,student
entity_0031,internal_student_0097,student
