edge_id,student_entity,supervisor_entity
edge_000001,entity_0167,entity_0077
edge_000002,entity_0152,entity_0444
edge_000003,entity_0359,entity_0037
edge_000004,entity_0221,entity_0499
edge_000005,entity_0311,entity_0169
edge_000006,entity_0193,entity_0423
edge_000007,entity_0144,entity_0398
edge_000008,entity_0326,entity_0203
edge_000009,entity_0176,entity_0016
edge_000010,entity_0158,entity_0156
edge_000011,entity_0040,entity_0138
edge_000012,entity_0024,entity_0421
edge_000013,entity_0255,entity_0483
edge_000014,entity_0319,entity_0001
edge_000015,entity_0484,entity_0354
edge_000016,entity_0116,entity_0413
edge_000017,entity_0290,entity_0110
edge_000018,entity_0233,entity_0162
edge_000019,entity_0408,entity_0059
edge_000020,entity_0469,entity_0076
edge_000021,entity_0471,entity_0398
edge_000022,entity_0097,entity_0138
edge_000023,entity_0415,entity_0177
edge_000024,entity_0449,entity_0286
edge_000025,entity_0345,entity_0214
edge_000026,entity_0425,entity_0239
edge_000027,entity_0272,entity_0162
edge_000028,entity_0166,entity_0354
edge_000029,entity_0160,entity_0063
edge_000030,entity_0100,entity_0325
edge_000031,entity_0265,entity_0185
edge_000032,entity_0357,entity_0077
edge_000033,entity_0097,entity_0110
edge_000034,entity_0315,entity_0352
edge_000035,entity_0228,entity_0467
edge_000036,entity_0237,entity_0453
edge_000037,entity_0319,entity_0325
edge_000038,entity_0424,entity_0109
edge_000039,entity_0206,entity_0440
edge_000040,entity_0114,entity_0041
edge_000041,entity_0042,entity_0475
edge_000042,entity_0482,entity_0438
edge_000043,entity_0282,entity_0003
edge_000044,entity_0125,entity_0440
edge_000045,entity_0181,entity_0465
edge_000046,entity_0129,entity_0131
edge_000047,entity_0294,entity_0343
edge_000048,entity_0342,entity_0444
edge_000049,entity_0093,entity_0423
edge_000050,entity_0320,entity_0199
edge_000051,entity_0111,entity_0483
edge_000052,entity_0267,entity_0070
edge_000053,entity_0090,entity_0468
edge_000054,entity_0058,entity_0343
edge_000055,entity_0469,entity_0059
edge_000056,entity_0480,entity_0248
edge_000057,entity_0283,entity_0488
edge_000058,entity_0463,entity_0199
edge_000059,entity_0068,entity_0063
edge_000060,entity_0320,entity_0325
edge_000061,entity_0284,entity_0214
edge_000062,entity_0473,entity_0372
edge_000063,entity_0428,entity_0199
edge_000064,entity_0268,entity_0169
edge_000065,entity_0403,entity_0316
edge_000066,entity_0481,entity_0063
edge_000067,entity_0083,entity_0353
edge_000068,entity_0406,entity_0140
edge_000069,entity_0472,entity_0475
edge_000070,entity_0212,entity_0060
edge_000071,entity_0314,entity_0060
edge_000072,entity_0266,entity_0438
edge_000073,entity_0472,entity_0169
edge_000074,entity_0408,entity_0468
edge_000075,entity_0145,entity_0385
edge_000076,entity_0187,entity_0229
edge_000077,entity_0489,entity_0060
edge_000078,entity_0394,entity_0156
edge_000079,entity_0324,entity_0140
edge_000080,entity_0150,entity_0059
edge_000081,entity_0086,entity_0248
edge_000082,entity_0338,entity_0156
edge_000083,entity_0234,entity_0070
edge_000084,entity_0179,entity_0037
edge_000085,entity_0094,entity_0110
edge_000086,entity_0099,entity_0016
edge_000087,entity_0297,entity_0331
edge_000088,entity_0132,entity_0026
edge_000089,entity_0056,entity_0499
edge_000090,entity_0450,entity_0438
edge_000091,entity_0295,entity_0467
edge_000092,entity_0047,entity_0252
edge_000093,entity_0230,entity_0331
edge_000094,entity_0122,entity_0199
edge_000095,entity_0270,entity_0273
edge_000096,entity_0450,entity_0089
edge_000097,entity_0241,entity_0316
edge_000098,entity_0157,entity_0201
edge_000099,entity_0081,entity_0339
edge_000100,entity_0146,entity_0441
edge_000101,entity_0080,entity_0059
edge_000102,entity_0342,entity_0060
edge_000103,entity_0400,entity_0475
edge_000104,entity_0015,entity_0464
edge_000105,entity_0266,entity_0034
edge_000106,entity_0321,entity_0089
edge_000107,entity_0490,entity_0247
edge_000108,entity_0426,entity_0441
edge_000109,entity_0308,entity_0201
edge_000110,entity_0407,entity_0441
edge_000111,entity_0254,entity_0020
edge_000112,entity_0287,entity_0023
edge_000113,entity_0182,entity_0075
edge_000114,entity_0324,entity_0016
edge_000115,entity_0268,entity_0077
edge_000116,entity_0301,entity_0465
edge_000117,entity_0032,entity_0076
edge_000118,entity_0436,entity_0196
edge_000119,entity_0009,entity_0140
edge_000120,entity_0120,entity_0205
edge_000121,entity_0473,entity_0453
edge_000122,entity_0031,entity_0474
edge_000123,entity_0159,entity_0214
edge_000124,entity_0061,entity_0110
edge_000125,entity_0124,entity_0421
edge_000126,entity_0491,entity_0398
edge_000127,entity_0279,entity_0239
edge_000128,entity_0348,entity_0468
edge_000129,entity_0307,entity_0077
edge_000130,entity_0022,entity_0089
edge_000131,entity_0204,entity_0252
edge_000132,entity_0456,entity_0252
edge_000133,entity_0402,entity_0441
edge_000134,entity_0463,entity_0115
edge_000135,entity_0368,entity_0273
edge_000136,entity_0045,entity_0398
edge_000137,entity_0289,entity_0373
edge_000138,entity_0228,entity_0089
edge_000139,entity_0028,entity_0169
edge_000140,entity_0146,entity_0398
edge_000141,entity_0288,entity_0006
edge_000142,entity_0007,entity_0026
edge_000143,entity_0459,entity_0041
edge_000144,entity_0374,entity_0103
edge_000145,entity_0051,entity_0273
