entity_1,entity_2,label,split
entity_0398,entity_0147,0,train
entity_0147,entity_0398,1,test
entity_0456,entity_0214,1,train
entity_0214,entity_0456,0,test
entity_0196,entity_0249,0,train
entity_0249,entity_0196,1,test
entity_0065,entity_0322,1,train
entity_0322,entity_0065,0,test
entity_0227,entity_0127,0,train
entity_0127,entity_0227,1,test
entity_0220,entity_0396,0,train
entity_0396,entity_0220,1,test
entity_0140,entity_0324,0,train
entity_0324,entity_0140,1,test
entity_0178,entity_0026,1,train
entity_0026,entity_0178,0,test
entity_0077,entity_0082,0,train
entity_0082,entity_0077,1,test
entity_0484,entity_0003,1,train
entity_0003,entity_0484,0,test
entity_0453,entity_0473,0,train
entity_0473,entity_0453,1,test
entity_0202,entity_0185,1,train
entity_0185,entity_0202,0,test
entity_0067,entity_0050,1,train
entity_0050,entity_0067,0,test
entity_0284,entity_0495,1,train
entity_0495,entity_0284,0,test
entity_0325,entity_0259,0,train
entity_0259,entity_0325,1,test
entity_0476,entity_0016,1,train
entity_0016,entity_0476,0,test
entity_0495,entity_0153,0,train
entity_0153,entity_0495,1,test
entity_0060,entity_0342,0,train
entity_0342,entity_0060,1,test
entity_0103,entity_0490,0,train
entity_0490,entity_0103,1,test
entity_0162,entity_0406,0,train
entity_0406,entity_0162,1,test
entity_0470,entity_0162,1,train
entity_0162,entity_0470,0,test
entity_0245,entity_0354,1,train
entity_0354,entity_0245,0,test
entity_0133,entity_0397,0,train
entity_0397,entity_0133,1,test
entity_0443,entity_0430,1,train
entity_0430,entity_0443,0,test
entity_0308,entity_0201,1,train
entity_0201,entity_0308,0,test
entity_0098,entity_0185,1,train
entity_0185,entity_0098,0,test
entity_0412,entity_0479,1,train
entity_0479,entity_0412,0,test
entity_0176,entity_0016,1,train
entity_0016,entity_0176,0,test
entity_0037,entity_0232,0,train
entity_0232,entity_0037,1,test
entity_0131,entity_0129,0,train
entity_0129,entity_0131,1,test
entity_0005,entity_0138,1,train
entity_0138,entity_0005,0,test
entity_0015,entity_0078,1,train
entity_0078,entity_0015,0,test
entity_0163,entity_0423,1,train
entity_0423,entity_0163,0,test
entity_0162,entity_0208,0,train
entity_0208,entity_0162,1,test
entity_0298,entity_0475,1,train
entity_0475,entity_0298,0,test
entity_0499,entity_0221,0,train
entity_0221,entity_0499,1,test
entity_0074,entity_0110,1,train
entity_0110,entity_0074,0,test
entity_0219,entity_0253,1,train
entity_0253,entity_0219,0,test
entity_0173,entity_0247,1,train
entity_0247,entity_0173,0,test
entity_0006,entity_0288,0,train
entity_0288,entity_0006,1,test
entity_0076,entity_0379,0,train
entity_0379,entity_0076,1,test
entity_0438,entity_0391,0,train
entity_0391,entity_0438,1,test
entity_0302,entity_0059,1,train
entity_0059,entity_0302,0,test
entity_0436,entity_0196,1,train
entity_0196,entity_0436,0,test
entity_0280,entity_0169,1,train
entity_0169,entity_0280,0,test
entity_0421,entity_0124,0,train
entity_0124,entity_0421,1,test
entity_0483,entity_0363,0,train
entity_0363,entity_0483,1,test
entity_0463,entity_0115,1,train
entity_0115,entity_0463,0,test
entity_0399,entity_0277,1,train
entity_0277,entity_0399,0,test
entity_0239,entity_0204,0,train
entity_0204,entity_0239,1,test
entity_0339,entity_0246,0,train
entity_0246,entity_0339,1,test
entity_0345,entity_0078,1,train
entity_0078,entity_0345,0,test
entity_0398,entity_0197,0,train
entity_0197,entity_0398,1,test
entity_0229,entity_0411,0,train
entity_0411,entity_0229,1,test
entity_0483,entity_0222,0,train
entity_0222,entity_0483,1,test
entity_0005,entity_0339,1,train
entity_0339,entity_0005,0,test
entity_0468,entity_0123,0,train
entity_0123,entity_0468,1,test
entity_0165,entity_0177,1,train
entity_0177,entity_0165,0,test
entity_0320,entity_0325,1,train
entity_0325,entity_0320,0,test
entity_0203,entity_0120,0,train
entity_0120,entity_0203,1,test
entity_0424,entity_0109,1,train
entity_0109,entity_0424,0,test
entity_0291,entity_0457,1,train
entity_0457,entity_0291,0,test
entity_0034,entity_0258,0,train
entity_0258,entity_0034,1,test
entity_0465,entity_0300,0,train
entity_0300,entity_0465,1,test
entity_0499,entity_0044,0,train
entity_0044,entity_0499,1,test
entity_0108,entity_0077,1,train
entity_0077,entity_0108,0,test
entity_0105,entity_0177,1,train
entity_0177,entity_0105,0,test
entity_0438,entity_0318,0,train
entity_0318,entity_0438,1,test
entity_0137,entity_0474,1,train
entity_0474,entity_0137,0,test
entity_0294,entity_0343,1,train
entity_0343,entity_0294,0,test
entity_0076,entity_0222,0,train
entity_0222,entity_0076,1,test
entity_0339,entity_0428,0,train
entity_0428,entity_0339,1,test
entity_0229,entity_0187,0,train
entity_0187,entity_0229,1,test
entity_0172,entity_0438,1,train
entity_0438,entity_0172,0,test
