n,accuracy,f1,precision,recall,true_positive_rate,predicted_positive_rate,tp,tn,fp,fn,run_idx,valid_predictions,expected_predictions,valid_prediction_rate,elapsed_s,parse_error
2,0.0,0.0,0.0,0.0,0.5,0.5,0,0,1,1,0,2,64,0.03125,0.4668477401137352,
2,0.0,0.0,0.0,0.0,0.5,0.5,0,0,1,1,1,2,64,0.03125,0.44355392176657915,
2,0.0,0.0,0.0,0.0,0.5,0.5,0,0,1,1,2,2,64,0.03125,0.4800708359107375,
2,1.0,1.0,1.0,1.0,0.5,0.5,1,1,0,0,3,2,64,0.03125,0.45916794799268246,
2,0.5,0.0,0.0,0.0,0.0,0.5,0,1,1,0,4,2,64,0.03125,0.44909193087369204,
2,0.5,0.0,0.0,0.0,0.5,0.0,0,1,0,1,5,2,64,0.03125,0.4535390557721257,
2,1.0,1.0,1.0,1.0,0.5,0.5,1,1,0,0,6,2,64,0.03125,0.47724126279354095,
2,0.5,0.6666666666666666,1.0,0.5,1.0,0.5,1,0,0,1,7,2,64,0.03125,0.4564646454527974,
2,0.5,0.6666666666666666,1.0,0.5,1.0,0.5,1,0,0,1,8,2,64,0.03125,0.4450685381889343,
2,0.5,0.0,0.0,0.0,0.0,0.5,0,1,1,0,9,2,64,0.03125,0.4696966540068388,
2,1.0,1.0,1.0,1.0,0.5,0.5,1,1,0,0,10,2,64,0.03125,0.4514835737645626,
2,1.0,1.0,1.0,1.0,0.5,0.5,1,1,0,0,11,2,64,0.03125,0.4798514014109969,
2,0.5,0.6666666666666666,1.0,0.5,1.0,0.5,1,0,0,1,12,2,64,0.03125,0.49850170500576496,
2,0.0,0.0,0.0,0.0,0.5,0.5,0,0,1,1,13,2,64,0.03125,0.4565347470343113,
2,0.0,0.0,0.0,0.0,0.5,0.5,0,0,1,1,14,2,64,0.03125,0.46838213596493006,
2,0.5,0.0,0.0,0.0,0.0,0.5,0,1,1,0,15,2,64,0.03125,0.4640415674075484,
2,1.0,1.0,1.0,1.0,0.5,0.5,1,1,0,0,16,2,64,0.03125,0.466133676469326,
2,0.0,0.0,0.0,0.0,0.5,0.5,0,0,1,1,17,2,64,0.03125,0.46139364317059517,
2,0.5,0.0,0.0,0.0,0.0,0.5,0,1,1,0,18,2,64,0.03125,0.4529537372291088,
2,0.0,0.0,0.0,0.0,0.5,0.5,0,0,1,1,19,2,64,0.03125,0.43847246933728456,
