n,accuracy,f1,precision,recall,true_positive_rate,predicted_positive_rate,tp,tn,fp,fn,run_idx,valid_predictions,expected_predictions,valid_prediction_rate,elapsed_s,parse_error
64,0.484375,0.15384615384615383,0.42857142857142855,0.09375,0.5,0.109375,3,28,4,29,0,64,64,1.0,7.290335133671761,
64,0.453125,0.10256410256410256,0.2857142857142857,0.0625,0.5,0.109375,2,27,5,30,1,64,64,1.0,7.29691219329834,
64,0.40625,0.13636363636363635,0.25,0.09375,0.5,0.1875,3,23,9,29,2,64,64,1.0,7.319319509901106,
64,0.5,0.0,0.0,0.0,0.5,0.0,0,32,0,32,3,64,64,1.0,7.2977484334260225,
64,0.5,0.15789473684210525,0.5,0.09375,0.5,0.09375,3,29,3,29,4,64,64,1.0,7.302445286884904,
64,0.53125,0.11764705882352941,1.0,0.0625,0.5,0.03125,2,32,0,30,5,64,64,1.0,7.31014784052968,
64,0.484375,0.15384615384615383,0.42857142857142855,0.09375,0.5,0.109375,3,28,4,29,6,64,64,1.0,7.315417759120464,
64,0.5,0.2,0.5,0.125,0.5,0.125,4,28,4,28,7,64,64,1.0,7.2918852139264345,
64,0.5,0.0,0.0,0.0,0.5,0.0,0,32,0,32,8,64,64,1.0,7.294664189219475,
64,0.5,0.058823529411764705,0.5,0.03125,0.5,0.03125,1,31,1,31,9,64,64,1.0,7.29355991538614,
64,0.5,0.15789473684210525,0.5,0.09375,0.5,0.09375,3,29,3,29,10,64,64,1.0,7.28790970146656,
64,0.515625,0.06060606060606061,1.0,0.03125,0.5,0.015625,1,32,0,31,11,64,64,1.0,7.297543345950544,
64,0.46875,0.19047619047619047,0.4,0.125,0.5,0.15625,4,26,6,28,12,64,64,1.0,7.278172614984214,
64,0.53125,0.21052631578947367,0.6666666666666666,0.125,0.5,0.09375,4,30,2,28,13,64,64,1.0,7.295738538727164,
64,0.484375,0.05714285714285714,0.3333333333333333,0.03125,0.5,0.046875,1,30,2,31,14,64,64,1.0,7.296163914725184,
64,0.515625,0.16216216216216214,0.6,0.09375,0.5,0.078125,3,30,2,29,15,64,64,1.0,7.302936016581953,
64,0.4375,0.18181818181818182,0.3333333333333333,0.125,0.5,0.1875,4,24,8,28,16,64,64,1.0,7.2829231871291995,
64,0.453125,0.05405405405405406,0.2,0.03125,0.5,0.078125,1,28,4,31,17,64,64,1.0,7.290506718680263,
64,0.484375,0.1951219512195122,0.4444444444444444,0.125,0.5,0.140625,4,27,5,28,18,64,64,1.0,7.301985522732139,
64,0.484375,0.10810810810810811,0.4,0.0625,0.5,0.078125,2,29,3,30,19,64,64,1.0,7.312434040941298,
