n,accuracy,f1,precision,recall,true_positive_rate,predicted_positive_rate,tp,tn,fp,fn,run_idx,valid_predictions,expected_predictions,valid_prediction_rate,elapsed_s,parse_error
64,0.625,0.4285714285714286,0.9,0.28125,0.5,0.15625,9,31,1,23,0,64,64,1.0,7.307571465149522,
64,0.5,0.0,0.0,0.0,0.5,0.0,0,32,0,32,1,64,64,1.0,7.389693015255034,
64,0.75,0.6923076923076923,0.9,0.5625,0.5,0.3125,18,30,2,14,2,64,64,1.0,7.386511068791151,
64,0.609375,0.3902439024390244,0.8888888888888888,0.25,0.5,0.140625,8,31,1,24,3,64,64,1.0,7.290484784170985,
64,0.625,0.5,0.75,0.375,0.5,0.25,12,28,4,20,4,64,64,1.0,7.328485721722245,
64,0.65625,0.5217391304347825,0.8571428571428571,0.375,0.5,0.21875,12,30,2,20,5,64,64,1.0,7.415194767527282,
64,0.6875,0.5652173913043478,0.9285714285714286,0.40625,0.5,0.21875,13,31,1,19,6,64,64,1.0,7.314373985864222,
64,0.71875,0.625,0.9375,0.46875,0.5,0.25,15,31,1,17,7,64,64,1.0,7.296589449979365,
64,0.703125,0.5957446808510638,0.9333333333333333,0.4375,0.5,0.234375,14,31,1,18,8,64,64,1.0,7.322676541283727,
64,0.59375,0.4090909090909091,0.75,0.28125,0.5,0.1875,9,29,3,23,9,64,64,1.0,7.324108895845711,
64,0.765625,0.7058823529411765,0.9473684210526315,0.5625,0.5,0.296875,18,31,1,14,10,64,64,1.0,7.318191186524928,
63,0.7619047619047619,0.7058823529411765,0.9473684210526315,0.5625,0.5079365079365079,0.30158730158730157,18,30,1,14,11,63,64,0.984375,7.197753663174808,
64,0.609375,0.3902439024390244,0.8888888888888888,0.25,0.5,0.140625,8,31,1,24,12,64,64,1.0,7.322177730500698,
64,0.5,0.0,0.0,0.0,0.5,0.0,0,32,0,32,13,64,64,1.0,7.301480837166309,
64,0.609375,0.41860465116279066,0.8181818181818182,0.28125,0.5,0.171875,9,30,2,23,14,64,64,1.0,7.298255329020321,
64,0.65625,0.5,0.9166666666666666,0.34375,0.5,0.1875,11,31,1,21,15,64,64,1.0,7.295414797961712,
64,0.6875,0.6296296296296297,0.7727272727272727,0.53125,0.5,0.34375,17,27,5,15,16,64,64,1.0,7.403452004306018,
64,0.625,0.45454545454545453,0.8333333333333334,0.3125,0.5,0.1875,10,30,2,22,17,64,64,1.0,7.305063461884856,
64,0.53125,0.21052631578947367,0.6666666666666666,0.125,0.5,0.09375,4,30,2,28,18,64,64,1.0,7.306461577303708,
64,0.625,0.4285714285714286,0.9,0.28125,0.5,0.15625,9,31,1,23,19,64,64,1.0,7.290916841477156,
