entity_id,internal_entity_id,hidden_seniority_rank
entity_0016,internal_author_0001,1
entity_0041,internal_author_0002,2
entity_0006,internal_author_0003,3
entity_0049,internal_author_0004,4
entity_0038,internal_author_0005,5
entity_0060,internal_author_0006,6
entity_0056,internal_author_0007,7
entity_0059,internal_author_0008,8
entity_0012,internal_author_0009,9
entity_0021,internal_author_0010,10
entity_0050,internal_author_0011,11
entity_0019,internal_author_0012,12
entity_0046,internal_author_0013,13
entity_0048,internal_author_0014,14
entity_0035,internal_author_0015,15
entity_0015,internal_author_0016,16
entity_0024,internal_author_0017,17
entity_0052,internal_author_0018,18
entity_0033,internal_author_0019,19
entity_0011,internal_author_0020,20
entity_0044,internal_author_0021,21
entity_0040,internal_author_0022,22
entity_0054,internal_author_0023,23
entity_0055,internal_author_0024,24
entity_0022,internal_author_0025,25
entity_0042,internal_author_0026,26
entity_0045,internal_author_0027,27
entity_0008,internal_author_0028,28
entity_0023,internal_author_0029,29
entity_0034,internal_author_0030,30
entity_0036,internal_author_0031,31
entity_0018,internal_author_0032,32
entity_0029,internal_author_0033,33
entity_0039,internal_author_0034,34
entity_0017,internal_author_0035,35
entity_0037,internal_author_0036,36
entity_0030,internal_author_0037,37
entity_0058,internal_author_0038,38
entity_0057,internal_author_0039,39
entity_0031,internal_author_0040,40
entity_0009,internal_author_0041,41
entity_0013,internal_author_0042,42
entity_0051,internal_author_0043,43
entity_0003,internal_author_0044,44
entity_0005,internal_author_0045,45
entity_0001,internal_author_0046,46
entity_0010,internal_author_0047,47
entity_0020,internal_author_0048,48
entity_0025,internal_author_0049,49
entity_0053,internal_author_0050,50
entity_0047,internal_author_0051,51
entity_0004,internal_author_0052,52
entity_0007,internal_author_0053,53
entity_0032,internal_author_0054,54
entity_0027,internal_author_0055,55
entity_0014,internal_author_0056,56
entity_0026,internal_author_0057,57
entity_0043,internal_author_0058,58
entity_0028,internal_author_0059,59
entity_0002,internal_author_0060,60
