pair_id,pair_role,unordered_entity_a,unordered_entity_b,positive_entity_1,positive_entity_2,negative_entity_1,negative_entity_2,train_entity_1,train_entity_2,train_label,reverse_entity_1,reverse_entity_2,reverse_label,reverse_split
pair_000001,query,entity_0021,entity_0023,entity_0021,entity_0023,entity_0023,entity_0021,entity_0023,entity_0021,0,entity_0021,entity_0023,1,test
pair_000002,demo,entity_0047,entity_0043,entity_0047,entity_0043,entity_0043,entity_0047,entity_0047,entity_0043,1,entity_0043,entity_0047,0,train
pair_000003,demo,entity_0011,entity_0051,entity_0011,entity_0051,entity_0051,entity_0011,entity_0051,entity_0011,0,entity_0011,entity_0051,1,train
pair_000004,query,entity_0016,entity_0001,entity_0016,entity_0001,entity_0001,entity_0016,entity_0001,entity_0016,0,entity_0016,entity_0001,1,test
pair_000005,demo,entity_0008,entity_0014,entity_0008,entity_0014,entity_0014,entity_0008,entity_0008,entity_0014,1,entity_0014,entity_0008,0,train
pair_000006,query,entity_0037,entity_0025,entity_0037,entity_0025,entity_0025,entity_0037,entity_0037,entity_0025,1,entity_0025,entity_0037,0,test
pair_000007,query,entity_0051,entity_0026,entity_0051,entity_0026,entity_0026,entity_0051,entity_0051,entity_0026,1,entity_0026,entity_0051,0,test
pair_000008,demo,entity_0060,entity_0045,entity_0060,entity_0045,entity_0045,entity_0060,entity_0045,entity_0060,0,entity_0060,entity_0045,1,train
pair_000009,demo,entity_0017,entity_0057,entity_0017,entity_0057,entity_0057,entity_0017,entity_0017,entity_0057,1,entity_0057,entity_0017,0,train
pair_000010,query,entity_0011,entity_0026,entity_0011,entity_0026,entity_0026,entity_0011,entity_0011,entity_0026,1,entity_0026,entity_0011,0,test
pair_000011,demo,entity_0008,entity_0030,entity_0008,entity_0030,entity_0030,entity_0008,entity_0008,entity_0030,1,entity_0030,entity_0008,0,train
pair_000012,query,entity_0055,entity_0026,entity_0055,entity_0026,entity_0026,entity_0055,entity_0055,entity_0026,1,entity_0026,entity_0055,0,validation
pair_000013,query,entity_0021,entity_0057,entity_0021,entity_0057,entity_0057,entity_0021,entity_0057,entity_0021,0,entity_0021,entity_0057,1,test
pair_000014,query,entity_0009,entity_0032,entity_0009,entity_0032,entity_0032,entity_0009,entity_0032,entity_0009,0,entity_0009,entity_0032,1,test
pair_000015,query,entity_0025,entity_0026,entity_0025,entity_0026,entity_0026,entity_0025,entity_0026,entity_0025,0,entity_0025,entity_0026,1,test
pair_000016,query,entity_0057,entity_0032,entity_0057,entity_0032,entity_0032,entity_0057,entity_0032,entity_0057,0,entity_0057,entity_0032,1,test
pair_000017,demo,entity_0013,entity_0025,entity_0013,entity_0025,entity_0025,entity_0013,entity_0025,entity_0013,0,entity_0013,entity_0025,1,train
pair_000018,demo,entity_0029,entity_0025,entity_0029,entity_0025,entity_0025,entity_0029,entity_0025,entity_0029,0,entity_0029,entity_0025,1,train
pair_000019,demo,entity_0059,entity_0001,entity_0059,entity_0001,entity_0001,entity_0059,entity_0059,entity_0001,1,entity_0001,entity_0059,0,train
pair_000020,query,entity_0040,entity_0045,entity_0040,entity_0045,entity_0045,entity_0040,entity_0040,entity_0045,1,entity_0045,entity_0040,0,test
pair_000021,query,entity_0015,entity_0039,entity_0015,entity_0039,entity_0039,entity_0015,entity_0039,entity_0015,0,entity_0015,entity_0039,1,validation
pair_000022,demo,entity_0046,entity_0002,entity_0046,entity_0002,entity_0002,entity_0046,entity_0002,entity_0046,0,entity_0046,entity_0002,1,train
pair_000023,query,entity_0005,entity_0002,entity_0005,entity_0002,entity_0002,entity_0005,entity_0002,entity_0005,0,entity_0005,entity_0002,1,test
pair_000024,query,entity_0040,entity_0058,entity_0040,entity_0058,entity_0058,entity_0040,entity_0058,entity_0040,0,entity_0040,entity_0058,1,test
pair_000025,demo,entity_0048,entity_0028,entity_0048,entity_0028,entity_0028,entity_0048,entity_0028,entity_0048,0,entity_0048,entity_0028,1,train
pair_000026,demo,entity_0041,entity_0007,entity_0041,entity_0007,entity_0007,entity_0041,entity_0041,entity_0007,1,entity_0007,entity_0041,0,train
pair_000027,demo,entity_0015,entity_0011,entity_0015,entity_0011,entity_0011,entity_0015,entity_0015,entity_0011,1,entity_0011,entity_0015,0,train
pair_000028,query,entity_0040,entity_0037,entity_0040,entity_0037,entity_0037,entity_0040,entity_0037,entity_0040,0,entity_0040,entity_0037,1,test
pair_000029,demo,entity_0050,entity_0035,entity_0050,entity_0035,entity_0035,entity_0050,entity_0050,entity_0035,1,entity_0035,entity_0050,0,train
pair_000030,query,entity_0056,entity_0052,entity_0056,entity_0052,entity_0052,entity_0056,entity_0056,entity_0052,1,entity_0052,entity_0056,0,validation
pair_000031,query,entity_0006,entity_0057,entity_0006,entity_0057,entity_0057,entity_0006,entity_0006,entity_0057,1,entity_0057,entity_0006,0,test
pair_000032,demo,entity_0012,entity_0014,entity_0012,entity_0014,entity_0014,entity_0012,entity_0014,entity_0012,0,entity_0012,entity_0014,1,train
pair_000033,demo,entity_0037,entity_0058,entity_0037,entity_0058,entity_0058,entity_0037,entity_0037,entity_0058,1,entity_0058,entity_0037,0,train
