pair_id,pair_role,unordered_entity_a,unordered_entity_b,label,train_entity_1,train_entity_2,holdout_entity_1,holdout_entity_2,reverse_split
pair_000001,query,entity_0019,entity_0031,0,entity_0031,entity_0019,entity_0019,entity_0031,test
pair_000002,query,entity_0026,entity_0028,1,entity_0026,entity_0028,entity_0028,entity_0026,test
pair_000003,demo,entity_0010,entity_0053,1,entity_0010,entity_0053,entity_0053,entity_0010,train
pair_000004,demo,entity_0059,entity_0012,1,entity_0012,entity_0059,entity_0059,entity_0012,train
pair_000005,query,entity_0001,entity_0010,1,entity_0001,entity_0010,entity_0010,entity_0001,validation
pair_000006,demo,entity_0012,entity_0029,0,entity_0029,entity_0012,entity_0012,entity_0029,train
pair_000007,demo,entity_0012,entity_0035,0,entity_0035,entity_0012,entity_0012,entity_0035,train
pair_000008,query,entity_0047,entity_0007,1,entity_0007,entity_0047,entity_0047,entity_0007,test
pair_000009,demo,entity_0041,entity_0036,0,entity_0041,entity_0036,entity_0036,entity_0041,train
pair_000010,query,entity_0039,entity_0031,0,entity_0031,entity_0039,entity_0039,entity_0031,test
pair_000011,query,entity_0050,entity_0035,1,entity_0050,entity_0035,entity_0035,entity_0050,test
pair_000012,demo,entity_0036,entity_0039,1,entity_0039,entity_0036,entity_0036,entity_0039,train
pair_000013,query,entity_0037,entity_0031,1,entity_0031,entity_0037,entity_0037,entity_0031,test
pair_000014,demo,entity_0052,entity_0013,0,entity_0013,entity_0052,entity_0052,entity_0013,train
pair_000015,demo,entity_0054,entity_0032,0,entity_0032,entity_0054,entity_0054,entity_0032,train
pair_000016,demo,entity_0019,entity_0046,1,entity_0019,entity_0046,entity_0046,entity_0019,train
pair_000017,demo,entity_0048,entity_0034,0,entity_0048,entity_0034,entity_0034,entity_0048,train
pair_000018,demo,entity_0004,entity_0027,1,entity_0004,entity_0027,entity_0027,entity_0004,train
pair_000019,demo,entity_0019,entity_0048,1,entity_0019,entity_0048,entity_0048,entity_0019,train
pair_000020,query,entity_0040,entity_0055,1,entity_0055,entity_0040,entity_0040,entity_0055,test
pair_000021,query,entity_0015,entity_0024,1,entity_0015,entity_0024,entity_0024,entity_0015,validation
pair_000022,demo,entity_0054,entity_0055,1,entity_0054,entity_0055,entity_0055,entity_0054,train
pair_000023,query,entity_0037,entity_0057,1,entity_0057,entity_0037,entity_0037,entity_0057,test
pair_000024,demo,entity_0037,entity_0030,1,entity_0030,entity_0037,entity_0037,entity_0030,train
pair_000025,demo,entity_0060,entity_0056,1,entity_0056,entity_0060,entity_0060,entity_0056,train
pair_000026,demo,entity_0056,entity_0021,1,entity_0056,entity_0021,entity_0021,entity_0056,train
pair_000027,demo,entity_0012,entity_0021,1,entity_0012,entity_0021,entity_0021,entity_0012,train
pair_000028,demo,entity_0057,entity_0032,0,entity_0057,entity_0032,entity_0032,entity_0057,train
pair_000029,query,entity_0056,entity_0037,0,entity_0037,entity_0056,entity_0056,entity_0037,test
pair_000030,query,entity_0011,entity_0018,0,entity_0018,entity_0011,entity_0011,entity_0018,test
pair_000031,query,entity_0055,entity_0053,0,entity_0055,entity_0053,entity_0053,entity_0055,validation
pair_000032,query,entity_0012,entity_0032,0,entity_0032,entity_0012,entity_0012,entity_0032,test
pair_000033,demo,entity_0055,entity_0009,0,entity_0055,entity_0009,entity_0009,entity_0055,train
pair_000034,query,entity_0051,entity_0010,0,entity_0051,entity_0010,entity_0010,entity_0051,test
pair_000035,query,entity_0016,entity_0041,1,entity_0041,entity_0016,entity_0016,entity_0041,test
pair_000036,demo,entity_0050,entity_0014,0,entity_0050,entity_0014,entity_0014,entity_0050,train
pair_000037,demo,entity_0044,entity_0001,0,entity_0001,entity_0044,entity_0044,entity_0001,train
pair_000038,query,entity_0045,entity_0028,0,entity_0028,entity_0045,entity_0045,entity_0028,test
pair_000039,demo,entity_0022,entity_0013,0,entity_0013,entity_0022,entity_0022,entity_0013,train
pair_000040,demo,entity_0054,entity_0017,0,entity_0054,entity_0017,entity_0017,entity_0054,train
pair_000041,demo,entity_0013,entity_0032,0,entity_0032,entity_0013,entity_0013,entity_0032,train
pair_000042,demo,entity_0050,entity_0051,0,entity_0050,entity_0051,entity_0051,entity_0050,train
pair_000043,demo,entity_0015,entity_0011,1,entity_0011,entity_0015,entity_0015,entity_0011,train
pair_000044,demo,entity_0059,entity_0004,0,entity_0004,entity_0059,entity_0059,entity_0004,train
pair_000045,query,entity_0016,entity_0027,0,entity_0016,entity_0027,entity_0027,entity_0016,test
pair_000046,query,entity_0048,entity_0035,1,entity_0035,entity_0048,entity_0048,entity_0035,test
pair_000047,query,entity_0034,entity_0001,0,entity_0001,entity_0034,entity_0034,entity_0001,validation
pair_000048,query,entity_0015,entity_0052,1,entity_0052,entity_0015,entity_0015,entity_0052,test
pair_000049,query,entity_0049,entity_0009,0,entity_0049,entity_0009,entity_0009,entity_0049,test
pair_000050,query,entity_0009,entity_0051,1,entity_0009,entity_0051,entity_0051,entity_0009,test
pair_000051,query,entity_0041,entity_0002,0,entity_0041,entity_0002,entity_0002,entity_0041,test
pair_000052,demo,entity_0004,entity_0014,0,entity_0014,entity_0004,entity_0004,entity_0014,train
pair_000053,query,entity_0010,entity_0020,1,entity_0010,entity_0020,entity_0020,entity_0010,test
pair_000054,query,entity_0017,entity_0047,0,entity_0047,entity_0017,entity_0017,entity_0047,test
pair_000055,query,entity_0031,entity_0010,0,entity_0010,entity_0031,entity_0031,entity_0010,test
pair_000056,demo,entity_0044,entity_0040,1,entity_0044,entity_0040,entity_0040,entity_0044,train
pair_000057,demo,entity_0050,entity_0058,0,entity_0058,entity_0050,entity_0050,entity_0058,train
pair_000058,demo,entity_0021,entity_0018,0,entity_0018,entity_0021,entity_0021,entity_0018,train
pair_000059,demo,entity_0015,entity_0033,1,entity_0033,entity_0015,entity_0015,entity_0033,train
pair_000060,query,entity_0051,entity_0005,1,entity_0005,entity_0051,entity_0051,entity_0005,test
pair_000061,demo,entity_0025,entity_0028,0,entity_0025,entity_0028,entity_0028,entity_0025,train
pair_000062,query,entity_0042,entity_0034,1,entity_0034,entity_0042,entity_0042,entity_0034,validation
pair_000063,query,entity_0042,entity_0023,1,entity_0023,entity_0042,entity_0042,entity_0023,test
pair_000064,query,entity_0013,entity_0051,1,entity_0051,entity_0013,entity_0013,entity_0051,test
pair_000065,demo,entity_0047,entity_0027,1,entity_0047,entity_0027,entity_0027,entity_0047,train
pair_000066,query,entity_0050,entity_0001,0,entity_0001,entity_0050,entity_0050,entity_0001,test
pair_000067,demo,entity_0040,entity_0053,0,entity_0053,entity_0040,entity_0040,entity_0053,train
pair_000068,demo,entity_0007,entity_0027,1,entity_0007,entity_0027,entity_0027,entity_0007,train
pair_000069,demo,entity_0051,entity_0027,0,entity_0051,entity_0027,entity_0027,entity_0051,train
