entity_id,internal_entity_id,hidden_group_id,group_local_index
entity_0001,internal_entity_0001,group_001,1
entity_0002,internal_entity_0002,group_001,2
entity_0003,internal_entity_0003,group_001,3
entity_0004,internal_entity_0004,group_001,4
entity_0005,internal_entity_0005,group_001,5
entity_0006,internal_entity_0006,group_002,1
entity_0007,internal_entity_0007,group_002,2
entity_0008,internal_entity_0008,group_002,3
entity_0009,internal_entity_0009,group_002,4
entity_0010,internal_entity_0010,group_002,5
entity_0011,internal_entity_0011,group_003,1
entity_0012,internal_entity_0012,group_003,2
entity_0013,internal_entity_0013,group_003,3
entity_0014,internal_entity_0014,group_003,4
entity_0015,internal_entity_0015,group_003,5
entity_0016,internal_entity_0016,group_004,1
entity_0017,internal_entity_0017,group_004,2
entity_0018,internal_entity_0018,group_004,3
entity_0019,internal_entity_0019,group_004,4
entity_0020,internal_entity_0020,group_004,5
entity_0021,internal_entity_0021,group_005,1
entity_0022,internal_entity_0022,group_005,2
entity_0023,internal_entity_0023,group_005,3
entity_0024,internal_entity_0024,group_005,4
entity_0025,internal_entity_0025,group_005,5
entity_0026,internal_entity_0026,group_006,1
entity_0027,internal_entity_0027,group_006,2
entity_0028,internal_entity_0028,group_006,3
entity_0029,internal_entity_0029,group_006,4
entity_0030,internal_entity_0030,group_006,5
entity_0031,internal_entity_0031,group_007,1
entity_0032,internal_entity_0032,group_007,2
entity_0033,internal_entity_0033,group_007,3
entity_0034,internal_entity_0034,group_007,4
entity_0035,internal_entity_0035,group_007,5
entity_0036,internal_entity_0036,group_008,1
entity_0037,internal_entity_0037,group_008,2
entity_0038,internal_entity_0038,group_008,3
entity_0039,internal_entity_0039,group_008,4
entity_0040,internal_entity_0040,group_008,5
entity_0041,internal_entity_0041,group_009,1
entity_0042,internal_entity_0042,group_009,2
entity_0043,internal_entity_0043,group_009,3
entity_0044,internal_entity_0044,group_009,4
entity_0045,internal_entity_0045,group_009,5
entity_0046,internal_entity_0046,group_010,1
entity_0047,internal_entity_0047,group_010,2
entity_0048,internal_entity_0048,group_010,3
entity_0049,internal_entity_0049,group_010,4
entity_0050,internal_entity_0050,group_010,5
entity_0051,internal_entity_0051,group_011,1
entity_0052,internal_entity_0052,group_011,2
entity_0053,internal_entity_0053,group_011,3
entity_0054,internal_entity_0054,group_011,4
entity_0055,internal_entity_0055,group_011,5
entity_0056,internal_entity_0056,group_012,1
entity_0057,internal_entity_0057,group_012,2
entity_0058,internal_entity_0058,group_012,3
entity_0059,internal_entity_0059,group_012,4
entity_0060,internal_entity_0060,group_012,5
