pair_id,pair_role,unordered_entity_a,unordered_entity_b,label,train_entity_1,train_entity_2,holdout_entity_1,holdout_entity_2,reverse_split
pair_000001,query,entity_0022,entity_0026,0,entity_0022,entity_0026,entity_0026,entity_0022,validation
pair_000002,query,entity_0032,entity_0056,0,entity_0032,entity_0056,entity_0056,entity_0032,test
pair_000003,query,entity_0021,entity_0034,0,entity_0021,entity_0034,entity_0034,entity_0021,test
pair_000004,query,entity_0047,entity_0048,1,entity_0047,entity_0048,entity_0048,entity_0047,test
pair_000005,query,entity_0023,entity_0024,1,entity_0024,entity_0023,entity_0023,entity_0024,test
pair_000006,query,entity_0023,entity_0048,0,entity_0048,entity_0023,entity_0023,entity_0048,test
pair_000007,query,entity_0047,entity_0049,1,entity_0049,entity_0047,entity_0047,entity_0049,validation
pair_000008,query,entity_0007,entity_0010,1,entity_0007,entity_0010,entity_0010,entity_0007,test
pair_000009,query,entity_0023,entity_0035,0,entity_0035,entity_0023,entity_0023,entity_0035,test
pair_000010,query,entity_0032,entity_0053,0,entity_0053,entity_0032,entity_0032,entity_0053,test
pair_000011,query,entity_0005,entity_0025,0,entity_0005,entity_0025,entity_0025,entity_0005,test
pair_000012,query,entity_0036,entity_0051,0,entity_0051,entity_0036,entity_0036,entity_0051,test
pair_000013,query,entity_0003,entity_0005,1,entity_0005,entity_0003,entity_0003,entity_0005,test
pair_000014,query,entity_0002,entity_0012,0,entity_0002,entity_0012,entity_0012,entity_0002,test
pair_000015,query,entity_0018,entity_0044,0,entity_0018,entity_0044,entity_0044,entity_0018,validation
pair_000016,query,entity_0043,entity_0044,1,entity_0044,entity_0043,entity_0043,entity_0044,validation
pair_000017,query,entity_0049,entity_0059,0,entity_0049,entity_0059,entity_0059,entity_0049,validation
pair_000018,query,entity_0047,entity_0050,1,entity_0050,entity_0047,entity_0047,entity_0050,validation
pair_000019,query,entity_0007,entity_0008,1,entity_0007,entity_0008,entity_0008,entity_0007,test
pair_000020,query,entity_0021,entity_0022,1,entity_0022,entity_0021,entity_0021,entity_0022,test
pair_000021,query,entity_0001,entity_0003,1,entity_0001,entity_0003,entity_0003,entity_0001,test
pair_000022,query,entity_0012,entity_0013,1,entity_0012,entity_0013,entity_0013,entity_0012,test
pair_000023,query,entity_0009,entity_0015,0,entity_0015,entity_0009,entity_0009,entity_0015,test
pair_000024,query,entity_0027,entity_0030,1,entity_0027,entity_0030,entity_0030,entity_0027,test
pair_000025,query,entity_0026,entity_0029,1,entity_0029,entity_0026,entity_0026,entity_0029,test
pair_000026,query,entity_0016,entity_0018,1,entity_0018,entity_0016,entity_0016,entity_0018,test
pair_000027,query,entity_0003,entity_0040,0,entity_0003,entity_0040,entity_0040,entity_0003,validation
pair_000028,query,entity_0026,entity_0030,1,entity_0030,entity_0026,entity_0026,entity_0030,test
pair_000029,query,entity_0011,entity_0012,1,entity_0011,entity_0012,entity_0012,entity_0011,test
pair_000030,query,entity_0037,entity_0040,1,entity_0037,entity_0040,entity_0040,entity_0037,test
pair_000031,query,entity_0007,entity_0009,1,entity_0009,entity_0007,entity_0007,entity_0009,test
pair_000032,query,entity_0036,entity_0038,1,entity_0038,entity_0036,entity_0036,entity_0038,test
pair_000033,query,entity_0003,entity_0059,0,entity_0003,entity_0059,entity_0059,entity_0003,validation
pair_000034,query,entity_0005,entity_0037,0,entity_0037,entity_0005,entity_0005,entity_0037,test
pair_000035,query,entity_0056,entity_0059,1,entity_0056,entity_0059,entity_0059,entity_0056,test
pair_000036,query,entity_0013,entity_0024,0,entity_0013,entity_0024,entity_0024,entity_0013,validation
pair_000037,query,entity_0051,entity_0055,1,entity_0055,entity_0051,entity_0051,entity_0055,test
