entity_1,entity_2,label,split
entity_0019,entity_0031,1,train
entity_0031,entity_0019,1,test
entity_0031,entity_0012,1,train
entity_0012,entity_0031,1,test
entity_0004,entity_0062,1,train
entity_0062,entity_0004,1,test
entity_0014,entity_0068,0,train
entity_0068,entity_0014,0,test
entity_0023,entity_0057,1,train
entity_0057,entity_0023,1,test
entity_0057,entity_0068,1,train
entity_0068,entity_0057,1,test
entity_0017,entity_0059,0,train
entity_0059,entity_0017,0,test
entity_0034,entity_0060,0,train
entity_0060,entity_0034,0,test
entity_0021,entity_0047,0,train
entity_0047,entity_0021,0,test
entity_0051,entity_0006,1,train
entity_0006,entity_0051,1,test
entity_0035,entity_0068,1,train
entity_0068,entity_0035,1,test
entity_0006,entity_0073,1,train
entity_0073,entity_0006,1,test
entity_0023,entity_0021,1,train
entity_0021,entity_0023,1,test
entity_0033,entity_0072,0,train
entity_0072,entity_0033,0,test
entity_0060,entity_0012,0,train
entity_0012,entity_0060,0,test
entity_0036,entity_0013,1,train
entity_0013,entity_0036,1,test
entity_0036,entity_0010,1,train
entity_0010,entity_0036,1,test
entity_0040,entity_0041,1,train
entity_0041,entity_0040,1,test
entity_0072,entity_0020,0,train
entity_0020,entity_0072,0,test
entity_0012,entity_0046,0,train
entity_0046,entity_0012,0,test
entity_0046,entity_0072,1,train
entity_0072,entity_0046,1,test
entity_0001,entity_0056,1,train
entity_0056,entity_0001,1,test
entity_0057,entity_0050,0,train
entity_0050,entity_0057,0,test
entity_0014,entity_0021,1,train
entity_0021,entity_0014,1,test
entity_0008,entity_0077,1,train
entity_0077,entity_0008,1,test
entity_0042,entity_0035,1,train
entity_0035,entity_0042,1,validation
entity_0067,entity_0071,1,train
entity_0071,entity_0067,1,validation
entity_0054,entity_0040,0,train
entity_0040,entity_0054,0,validation
entity_0021,entity_0035,1,train
entity_0035,entity_0021,1,test
entity_0054,entity_0052,0,train
entity_0052,entity_0054,0,test
entity_0080,entity_0029,1,train
entity_0029,entity_0080,1,validation
entity_0039,entity_0017,0,train
entity_0017,entity_0039,0,test
entity_0031,entity_0008,0,train
entity_0008,entity_0031,0,test
entity_0039,entity_0042,1,train
entity_0042,entity_0039,1,test
entity_0008,entity_0053,1,train
entity_0053,entity_0008,1,test
entity_0024,entity_0010,1,train
entity_0010,entity_0024,1,test
entity_0015,entity_0046,0,train
entity_0046,entity_0015,0,test
entity_0011,entity_0064,1,train
entity_0064,entity_0011,1,test
entity_0027,entity_0020,0,train
entity_0020,entity_0027,0,validation
entity_0059,entity_0079,0,train
entity_0079,entity_0059,0,test
