pair_id,pair_role,unordered_entity_a,unordered_entity_b,label,train_entity_1,train_entity_2,reverse_entity_1,reverse_entity_2,reverse_split
pair_000001,query,entity_0031,entity_0019,1,entity_0019,entity_0031,entity_0031,entity_0019,test
pair_000002,query,entity_0012,entity_0031,1,entity_0031,entity_0012,entity_0012,entity_0031,test
pair_000003,query,entity_0062,entity_0004,1,entity_0004,entity_0062,entity_0062,entity_0004,test
pair_000004,query,entity_0068,entity_0014,0,entity_0014,entity_0068,entity_0068,entity_0014,test
pair_000005,query,entity_0023,entity_0057,1,entity_0023,entity_0057,entity_0057,entity_0023,test
pair_000006,query,entity_0057,entity_0068,1,entity_0057,entity_0068,entity_0068,entity_0057,test
pair_000007,query,entity_0059,entity_0017,0,entity_0017,entity_0059,entity_0059,entity_0017,test
pair_000008,query,entity_0034,entity_0060,0,entity_0034,entity_0060,entity_0060,entity_0034,test
pair_000009,query,entity_0047,entity_0021,0,entity_0021,entity_0047,entity_0047,entity_0021,test
pair_000010,query,entity_0006,entity_0051,1,entity_0051,entity_0006,entity_0006,entity_0051,test
pair_000011,query,entity_0068,entity_0035,1,entity_0035,entity_0068,entity_0068,entity_0035,test
pair_000012,query,entity_0073,entity_0006,1,entity_0006,entity_0073,entity_0073,entity_0006,test
pair_000013,query,entity_0023,entity_0021,1,entity_0023,entity_0021,entity_0021,entity_0023,test
pair_000014,query,entity_0072,entity_0033,0,entity_0033,entity_0072,entity_0072,entity_0033,test
pair_000015,query,entity_0012,entity_0060,0,entity_0060,entity_0012,entity_0012,entity_0060,test
pair_000016,query,entity_0036,entity_0013,1,entity_0036,entity_0013,entity_0013,entity_0036,test
pair_000017,query,entity_0036,entity_0010,1,entity_0036,entity_0010,entity_0010,entity_0036,test
pair_000018,query,entity_0040,entity_0041,1,entity_0040,entity_0041,entity_0041,entity_0040,test
pair_000019,query,entity_0072,entity_0020,0,entity_0072,entity_0020,entity_0020,entity_0072,test
pair_000020,query,entity_0012,entity_0046,0,entity_0012,entity_0046,entity_0046,entity_0012,test
pair_000021,query,entity_0072,entity_0046,1,entity_0046,entity_0072,entity_0072,entity_0046,test
