entity_1,entity_2,label,split
entity_0991,entity_0183,1,train
entity_0183,entity_0991,1,test
entity_0465,entity_0622,1,train
entity_0622,entity_0465,1,test
entity_0137,entity_0236,1,train
entity_0236,entity_0137,1,test
entity_0147,entity_0967,0,train
entity_0967,entity_0147,0,test
entity_0428,entity_0764,0,train
entity_0764,entity_0428,0,test
entity_0480,entity_0892,0,train
entity_0892,entity_0480,0,validation
entity_0684,entity_0964,1,train
entity_0964,entity_0684,1,test
entity_0293,entity_0328,1,train
entity_0328,entity_0293,1,test
entity_0534,entity_0161,1,train
entity_0161,entity_0534,1,test
entity_0241,entity_0051,0,train
entity_0051,entity_0241,0,validation
entity_0367,entity_0870,1,train
entity_0870,entity_0367,1,test
entity_0413,entity_0920,1,train
entity_0920,entity_0413,1,validation
entity_0374,entity_0077,0,train
entity_0077,entity_0374,0,validation
entity_0749,entity_0238,1,train
entity_0238,entity_0749,1,validation
entity_0128,entity_0903,0,train
entity_0903,entity_0128,0,test
entity_0768,entity_0850,0,train
entity_0850,entity_0768,0,test
entity_0160,entity_0289,1,train
entity_0289,entity_0160,1,validation
entity_0809,entity_0709,0,train
entity_0709,entity_0809,0,test
entity_0910,entity_0119,0,train
entity_0119,entity_0910,0,test
entity_0134,entity_0448,1,train
entity_0448,entity_0134,1,validation
entity_0500,entity_0948,0,train
entity_0948,entity_0500,0,validation
entity_0187,entity_0022,1,train
entity_0022,entity_0187,1,test
entity_0458,entity_0705,0,train
entity_0705,entity_0458,0,test
entity_0203,entity_0809,1,train
entity_0809,entity_0203,1,test
entity_0568,entity_0301,0,train
entity_0301,entity_0568,0,test
entity_0008,entity_0853,0,train
entity_0853,entity_0008,0,test
entity_0865,entity_0280,1,train
entity_0280,entity_0865,1,validation
entity_0826,entity_0827,0,train
entity_0827,entity_0826,0,test
entity_0746,entity_0074,1,train
entity_0074,entity_0746,1,test
entity_0101,entity_0031,0,train
entity_0031,entity_0101,0,test
entity_0868,entity_0362,1,train
entity_0362,entity_0868,1,test
entity_0372,entity_0194,0,train
entity_0194,entity_0372,0,test
entity_0573,entity_0596,0,train
entity_0596,entity_0573,0,test
entity_0883,entity_0473,1,train
entity_0473,entity_0883,1,validation
entity_0786,entity_0007,1,train
entity_0007,entity_0786,1,test
entity_0562,entity_0440,1,train
entity_0440,entity_0562,1,test
entity_0175,entity_0087,0,train
entity_0087,entity_0175,0,test
entity_0121,entity_0207,1,train
entity_0207,entity_0121,1,train
entity_0234,entity_0772,1,train
entity_0772,entity_0234,1,test
entity_0600,entity_0379,1,train
entity_0379,entity_0600,1,train
entity_0297,entity_0709,1,train
entity_0709,entity_0297,1,test
entity_0086,entity_0363,0,train
entity_0363,entity_0086,0,test
entity_0597,entity_0123,1,train
entity_0123,entity_0597,1,test
entity_0740,entity_0474,1,train
entity_0474,entity_0740,1,test
entity_0406,entity_0845,1,train
entity_0845,entity_0406,1,test
entity_0892,entity_0991,0,train
entity_0991,entity_0892,0,test
entity_0222,entity_0122,0,train
entity_0122,entity_0222,0,test
entity_0407,entity_0512,0,train
entity_0512,entity_0407,0,test
entity_0769,entity_0632,1,train
entity_0632,entity_0769,1,test
entity_0550,entity_0822,1,train
entity_0822,entity_0550,1,test
entity_0636,entity_0292,0,train
entity_0292,entity_0636,0,test
entity_0216,entity_0910,0,train
entity_0910,entity_0216,0,test
entity_0906,entity_0504,0,train
entity_0504,entity_0906,0,test
entity_0669,entity_0957,0,train
entity_0957,entity_0669,0,validation
entity_0400,entity_0391,0,train
entity_0391,entity_0400,0,test
entity_0413,entity_0156,0,train
entity_0156,entity_0413,0,validation
entity_0087,entity_0647,1,train
entity_0647,entity_0087,1,validation
entity_0590,entity_0413,0,train
entity_0413,entity_0590,0,test
entity_0754,entity_0465,1,train
entity_0465,entity_0754,1,train
entity_0763,entity_0517,1,train
entity_0517,entity_0763,1,test
entity_0027,entity_0491,0,train
entity_0491,entity_0027,0,test
entity_0688,entity_0207,0,train
entity_0207,entity_0688,0,test
entity_0415,entity_0986,1,train
entity_0986,entity_0415,1,train
entity_0284,entity_0154,0,train
entity_0154,entity_0284,0,test
entity_0721,entity_0731,1,train
entity_0731,entity_0721,1,test
entity_0115,entity_0625,1,train
entity_0625,entity_0115,1,test
entity_0376,entity_0746,1,train
entity_0746,entity_0376,1,test
entity_0882,entity_0307,1,train
entity_0307,entity_0882,1,validation
entity_0971,entity_0634,0,train
