pair_id,pair_role,unordered_entity_a,unordered_entity_b,label,train_entity_1,train_entity_2,holdout_entity_1,holdout_entity_2,reverse_split
pair_000001,demo,entity_0991,entity_0183,1,entity_0183,entity_0991,entity_0991,entity_0183,train
pair_000002,query,entity_0465,entity_0622,1,entity_0465,entity_0622,entity_0622,entity_0465,validation
pair_000003,demo,entity_0137,entity_0236,1,entity_0137,entity_0236,entity_0236,entity_0137,train
pair_000004,query,entity_0967,entity_0147,0,entity_0967,entity_0147,entity_0147,entity_0967,validation
pair_000005,query,entity_0764,entity_0428,0,entity_0764,entity_0428,entity_0428,entity_0764,test
pair_000006,query,entity_0480,entity_0892,0,entity_0480,entity_0892,entity_0892,entity_0480,test
pair_000007,query,entity_0684,entity_0964,1,entity_0964,entity_0684,entity_0684,entity_0964,test
pair_000008,demo,entity_0328,entity_0293,1,entity_0328,entity_0293,entity_0293,entity_0328,train
pair_000009,demo,entity_0534,entity_0161,1,entity_0161,entity_0534,entity_0534,entity_0161,train
pair_000010,query,entity_0051,entity_0241,0,entity_0051,entity_0241,entity_0241,entity_0051,test
pair_000011,query,entity_0870,entity_0367,1,entity_0870,entity_0367,entity_0367,entity_0870,test
pair_000012,query,entity_0413,entity_0920,1,entity_0920,entity_0413,entity_0413,entity_0920,test
pair_000013,demo,entity_0077,entity_0374,0,entity_0077,entity_0374,entity_0374,entity_0077,train
pair_000014,demo,entity_0749,entity_0238,1,entity_0749,entity_0238,entity_0238,entity_0749,train
pair_000015,demo,entity_0128,entity_0903,0,entity_0903,entity_0128,entity_0128,entity_0903,train
pair_000016,demo,entity_0850,entity_0768,0,entity_0850,entity_0768,entity_0768,entity_0850,train
pair_000017,query,entity_0289,entity_0160,1,entity_0289,entity_0160,entity_0160,entity_0289,test
pair_000018,query,entity_0809,entity_0709,0,entity_0809,entity_0709,entity_0709,entity_0809,test
pair_000019,query,entity_0119,entity_0910,0,entity_0910,entity_0119,entity_0119,entity_0910,validation
pair_000020,query,entity_0448,entity_0134,1,entity_0134,entity_0448,entity_0448,entity_0134,test
pair_000021,demo,entity_0500,entity_0948,0,entity_0500,entity_0948,entity_0948,entity_0500,train
pair_000022,query,entity_0022,entity_0187,1,entity_0187,entity_0022,entity_0022,entity_0187,test
pair_000023,demo,entity_0705,entity_0458,0,entity_0705,entity_0458,entity_0458,entity_0705,train
pair_000024,query,entity_0809,entity_0203,1,entity_0203,entity_0809,entity_0809,entity_0203,test
pair_000025,query,entity_0301,entity_0568,0,entity_0301,entity_0568,entity_0568,entity_0301,test
pair_000026,query,entity_0853,entity_0008,0,entity_0853,entity_0008,entity_0008,entity_0853,test
pair_000027,demo,entity_0280,entity_0865,1,entity_0280,entity_0865,entity_0865,entity_0280,train
pair_000028,query,entity_0827,entity_0826,0,entity_0827,entity_0826,entity_0826,entity_0827,test
pair_000029,demo,entity_0074,entity_0746,1,entity_0074,entity_0746,entity_0746,entity_0074,train
pair_000030,demo,entity_0031,entity_0101,0,entity_0101,entity_0031,entity_0031,entity_0101,train
pair_000031,query,entity_0868,entity_0362,1,entity_0362,entity_0868,entity_0868,entity_0362,test
pair_000032,demo,entity_0194,entity_0372,0,entity_0194,entity_0372,entity_0372,entity_0194,train
pair_000033,query,entity_0596,entity_0573,0,entity_0596,entity_0573,entity_0573,entity_0596,test
pair_000034,demo,entity_0883,entity_0473,1,entity_0883,entity_0473,entity_0473,entity_0883,train
pair_000035,demo,entity_0007,entity_0786,1,entity_0786,entity_0007,entity_0007,entity_0786,train
pair_000036,demo,entity_0440,entity_0562,1,entity_0562,entity_0440,entity_0440,entity_0562,train
pair_000037,query,entity_0175,entity_0087,0,entity_0087,entity_0175,entity_0175,entity_0087,validation
pair_000038,demo,entity_0121,entity_0207,1,entity_0121,entity_0207,entity_0207,entity_0121,train
pair_000039,demo,entity_0234,entity_0772,1,entity_0234,entity_0772,entity_0772,entity_0234,train
pair_000040,query,entity_0379,entity_0600,1,entity_0379,entity_0600,entity_0600,entity_0379,test
pair_000041,query,entity_0297,entity_0709,1,entity_0297,entity_0709,entity_0709,entity_0297,test
pair_000042,demo,entity_0363,entity_0086,0,entity_0363,entity_0086,entity_0086,entity_0363,train
pair_000043,query,entity_0597,entity_0123,1,entity_0123,entity_0597,entity_0597,entity_0123,test
pair_000044,query,entity_0474,entity_0740,1,entity_0740,entity_0474,entity_0474,entity_0740,test
pair_000045,query,entity_0406,entity_0845,1,entity_0845,entity_0406,entity_0406,entity_0845,test
pair_000046,query,entity_0892,entity_0991,0,entity_0892,entity_0991,entity_0991,entity_0892,test
pair_000047,demo,entity_0122,entity_0222,0,entity_0122,entity_0222,entity_0222,entity_0122,train
pair_000048,query,entity_0407,entity_0512,0,entity_0407,entity_0512,entity_0512,entity_0407,test
pair_000049,demo,entity_0632,entity_0769,1,entity_0769,entity_0632,entity_0632,entity_0769,train
pair_000050,demo,entity_0822,entity_0550,1,entity_0550,entity_0822,entity_0822,entity_0550,train
pair_000051,query,entity_0292,entity_0636,0,entity_0636,entity_0292,entity_0292,entity_0636,test
pair_000052,query,entity_0216,entity_0910,0,entity_0910,entity_0216,entity_0216,entity_0910,test
pair_000053,query,entity_0906,entity_0504,0,entity_0504,entity_0906,entity_0906,entity_0504,test
pair_000054,demo,entity_0957,entity_0669,0,entity_0957,entity_0669,entity_0669,entity_0957,train
pair_000055,demo,entity_0400,entity_0391,0,entity_0400,entity_0391,entity_0391,entity_0400,train
pair_000056,demo,entity_0156,entity_0413,0,entity_0156,entity_0413,entity_0413,entity_0156,train
pair_000057,demo,entity_0647,entity_0087,1,entity_0087,entity_0647,entity_0647,entity_0087,train
pair_000058,query,entity_0590,entity_0413,0,entity_0413,entity_0590,entity_0590,entity_0413,test
pair_000059,query,entity_0465,entity_0754,1,entity_0465,entity_0754,entity_0754,entity_0465,test
pair_000060,demo,entity_0763,entity_0517,1,entity_0763,entity_0517,entity_0517,entity_0763,train
pair_000061,query,entity_0027,entity_0491,0,entity_0027,entity_0491,entity_0491,entity_0027,test
pair_000062,query,entity_0688,entity_0207,0,entity_0688,entity_0207,entity_0207,entity_0688,validation
pair_000063,demo,entity_0415,entity_0986,1,entity_0415,entity_0986,entity_0986,entity_0415,train
pair_000064,demo,entity_0154,entity_0284,0,entity_0284,entity_0154,entity_0154,entity_0284,train
pair_000065,query,entity_0731,entity_0721,1,entity_0731,entity_0721,entity_0721,entity_0731,test
pair_000066,demo,entity_0625,entity_0115,1,entity_0115,entity_0625,entity_0625,entity_0115,train
pair_000067,demo,entity_0376,entity_0746,1,entity_0376,entity_0746,entity_0746,entity_0376,train
pair_000068,query,entity_0307,entity_0882,1,entity_0882,entity_0307,entity_0307,entity_0882,validation
pair_000069,demo,entity_0634,entity_0971,0,entity_0971,entity_0634,entity_0634,entity_0971,train
pair_000070,query,entity_0650,entity_0122,0,entity_0650,entity_0122,entity_0122,entity_0650,test
pair_000071,demo,entity_0596,entity_0830,0,entity_0830,entity_0596,entity_0596,entity_0830,train
pair_000072,demo,entity_0780,entity_0355,1,entity_0355,entity_0780,entity_0780,entity_0355,train
pair_000073,query,entity_0412,entity_0662,1,entity_0662,entity_0412,entity_0412,entity_0662,test
pair_000074,query,entity_0383,entity_0547,1,entity_0383,entity_0547,entity_0547,entity_0383,test
pair_000075,query,entity_0168,entity_0276,1,entity_0276,entity_0168,entity_0168,entity_0276,test
pair_000076,query,entity_0382,entity_0271,1,entity_0271,entity_0382,entity_0382,entity_0271,test
pair_000077,demo,entity_0836,entity_0932,0,entity_0836,entity_0932,entity_0932,entity_0836,train
pair_000078,query,entity_0186,entity_0103,0,entity_0186,entity_0103,entity_0103,entity_0186,test
pair_000079,query,entity_0720,entity_0305,0,entity_0305,entity_0720,entity_0720,entity_0305,test
pair_000080,demo,entity_0997,entity_0125,0,entity_0997,entity_0125,entity_0125,entity_0997,train
pair_000081,demo,entity_0933,entity_0953,0,entity_0953,entity_0933,entity_0933,entity_0953,train
pair_000082,query,entity_0216,entity_0926,0,entity_0926,entity_0216,entity_0216,entity_0926,test
pair_000083,query,entity_0320,entity_0199,0,entity_0199,entity_0320,entity_0320,entity_0199,test
pair_000084,demo,entity_0516,entity_0708,0,entity_0516,entity_0708,entity_0708,entity_0516,train
pair_000085,demo,entity_0703,entity_0915,0,entity_0703,entity_0915,entity_0915,entity_0703,train
pair_000086,query,entity_0381,entity_0278,0,entity_0278,entity_0381,entity_0381,entity_0278,validation
pair_000087,query,entity_0401,entity_0203,0,entity_0203,entity_0401,entity_0401,entity_0203,validation
pair_000088,demo,entity_0170,entity_0857,1,entity_0857,entity_0170,entity_0170,entity_0857,train
pair_000089,demo,entity_0908,entity_0042,0,entity_0908,entity_0042,entity_0042,entity_0908,train
pair_000090,demo,entity_0063,entity_0087,0,entity_0087,entity_0063,entity_0063,entity_0087,train
pair_000091,query,entity_0506,entity_0308,1,entity_0308,entity_0506,entity_0506,entity_0308,test
pair_000092,query,entity_0950,entity_0125,0,entity_0950,entity_0125,entity_0125,entity_0950,test
pair_000093,query,entity_0202,entity_0296,1,entity_0202,entity_0296,entity_0296,entity_0202,test
pair_000094,demo,entity_0280,entity_0769,0,entity_0280,entity_0769,entity_0769,entity_0280,train
pair_000095,demo,entity_0497,entity_0849,0,entity_0849,entity_0497,entity_0497,entity_0849,train
pair_000096,query,entity_0612,entity_0760,0,entity_0612,entity_0760,entity_0760,entity_0612,test
pair_000097,demo,entity_0664,entity_0115,1,entity_0115,entity_0664,entity_0664,entity_0115,train
pair_000098,query,entity_0259,entity_0298,0,entity_0298,entity_0259,entity_0259,entity_0298,test
pair_000099,demo,entity_0120,entity_0516,1,entity_0516,entity_0120,entity_0120,entity_0516,train
pair_000100,demo,entity_0379,entity_0567,1,entity_0567,entity_0379,entity_0379,entity_0567,train
pair_000101,demo,entity_0481,entity_0835,0,entity_0835,entity_0481,entity_0481,entity_0835,train
pair_000102,query,entity_0955,entity_0987,1,entity_0955,entity_0987,entity_0987,entity_0955,validation
pair_000103,demo,entity_0082,entity_0075,1,entity_0075,entity_0082,entity_0082,entity_0075,train
pair_000104,query,entity_0258,entity_0426,0,entity_0426,entity_0258,entity_0258,entity_0426,test
pair_000105,demo,entity_0790,entity_0578,1,entity_0790,entity_0578,entity_0578,entity_0790,train
pair_000106,query,entity_0602,entity_0982,0,entity_0602,entity_0982,entity_0982,entity_0602,validation
pair_000107,demo,entity_0809,entity_0853,0,entity_0809,entity_0853,entity_0853,entity_0809,train
pair_000108,query,entity_0941,entity_0116,0,entity_0941,entity_0116,entity_0116,entity_0941,test
pair_000109,demo,entity_0780,entity_0085,1,entity_0780,entity_0085,entity_0085,entity_0780,train
pair_000110,query,entity_0903,entity_0326,1,entity_0326,entity_0903,entity_0903,entity_0326,test
pair_000111,demo,entity_0682,entity_0552,0,entity_0552,entity_0682,entity_0682,entity_0552,train
pair_000112,query,entity_0019,entity_0343,1,entity_0019,entity_0343,entity_0343,entity_0019,test
pair_000113,query,entity_0283,entity_0449,1,entity_0283,entity_0449,entity_0449,entity_0283,test
pair_000114,query,entity_0366,entity_0795,1,entity_0366,entity_0795,entity_0795,entity_0366,test
pair_000115,query,entity_0957,entity_0109,0,entity_0957,entity_0109,entity_0109,entity_0957,test
pair_000116,demo,entity_0046,entity_0861,1,entity_0046,entity_0861,entity_0861,entity_0046,train
pair_000117,demo,entity_0064,entity_0691,1,entity_0691,entity_0064,entity_0064,entity_0691,train
pair_000118,query,entity_0342,entity_0491,1,entity_0491,entity_0342,entity_0342,entity_0491,test
pair_000119,query,entity_0274,entity_0705,1,entity_0705,entity_0274,entity_0274,entity_0705,test
pair_000120,query,entity_0408,entity_0538,1,entity_0408,entity_0538,entity_0538,entity_0408,test
pair_000121,demo,entity_0785,entity_0842,0,entity_0785,entity_0842,entity_0842,entity_0785,train
pair_000122,demo,entity_0860,entity_0015,0,entity_0860,entity_0015,entity_0015,entity_0860,train
pair_000123,query,entity_0231,entity_0072,0,entity_0072,entity_0231,entity_0231,entity_0072,test
pair_000124,demo,entity_0427,entity_0492,1,entity_0427,entity_0492,entity_0492,entity_0427,train
pair_000125,demo,entity_0358,entity_0722,0,entity_0358,entity_0722,entity_0722,entity_0358,train
pair_000126,demo,entity_0802,entity_0731,0,entity_0731,entity_0802,entity_0802,entity_0731,train
pair_000127,query,entity_0690,entity_0625,0,entity_0690,entity_0625,entity_0625,entity_0690,validation
pair_000128,query,entity_0808,entity_0974,1,entity_0808,entity_0974,entity_0974,entity_0808,test
pair_000129,query,entity_0807,entity_0738,1,entity_0807,entity_0738,entity_0738,entity_0807,test
pair_000130,query,entity_0540,entity_0206,1,entity_0206,entity_0540,entity_0540,entity_0206,test
pair_000131,query,entity_0723,entity_0644,0,entity_0723,entity_0644,entity_0644,entity_0723,test
pair_000132,demo,entity_0733,entity_0652,1,entity_0733,entity_0652,entity_0652,entity_0733,train
pair_000133,demo,entity_0224,entity_0863,1,entity_0863,entity_0224,entity_0224,entity_0863,train
pair_000134,query,entity_0047,entity_0878,0,entity_0047,entity_0878,entity_0878,entity_0047,validation
pair_000135,query,entity_0624,entity_0774,1,entity_0624,entity_0774,entity_0774,entity_0624,test
pair_000136,demo,entity_0225,entity_0899,0,entity_0225,entity_0899,entity_0899,entity_0225,train
pair_000137,demo,entity_0759,entity_0138,1,entity_0138,entity_0759,entity_0759,entity_0138,train
pair_000138,query,entity_0399,entity_0974,1,entity_0974,entity_0399,entity_0399,entity_0974,test
pair_000139,query,entity_0937,entity_0088,1,entity_0088,entity_0937,entity_0937,entity_0088,test
pair_000140,demo,entity_0259,entity_0057,0,entity_0259,entity_0057,entity_0057,entity_0259,train
pair_000141,query,entity_0062,entity_0146,1,entity_0146,entity_0062,entity_0062,entity_0146,test
pair_000142,query,entity_0569,entity_0556,1,entity_0569,entity_0556,entity_0556,entity_0569,test
pair_000143,query,entity_0931,entity_0651,0,entity_0931,entity_0651,entity_0651,entity_0931,test
pair_000144,query,entity_0280,entity_0018,1,entity_0018,entity_0280,entity_0280,entity_0018,validation
pair_000145,demo,entity_0564,entity_0169,1,entity_0564,entity_0169,entity_0169,entity_0564,train
pair_000146,demo,entity_0189,entity_0512,0,entity_0512,entity_0189,entity_0189,entity_0512,train
pair_000147,query,entity_0798,entity_0163,1,entity_0163,entity_0798,entity_0798,entity_0163,test
pair_000148,demo,entity_0232,entity_0021,0,entity_0021,entity_0232,entity_0232,entity_0021,train
pair_000149,query,entity_0596,entity_0032,0,entity_0032,entity_0596,entity_0596,entity_0032,test
pair_000150,demo,entity_0925,entity_0195,0,entity_0195,entity_0925,entity_0925,entity_0195,train
pair_000151,query,entity_0731,entity_0585,1,entity_0731,entity_0585,entity_0585,entity_0731,test
pair_000152,query,entity_0440,entity_0152,1,entity_0152,entity_0440,entity_0440,entity_0152,test
pair_000153,demo,entity_0490,entity_0107,1,entity_0490,entity_0107,entity_0107,entity_0490,train
pair_000154,query,entity_0576,entity_0892,1,entity_0576,entity_0892,entity_0892,entity_0576,test
