pair_id,pair_role,unordered_entity_a,unordered_entity_b,label,train_entity_1,train_entity_2,holdout_entity_1,holdout_entity_2,reverse_split
pair_000001,query,entity_0270,entity_0973,0,entity_0270,entity_0973,entity_0973,entity_0270,test
pair_000002,query,entity_0878,entity_0879,1,entity_0878,entity_0879,entity_0879,entity_0878,test
pair_000003,query,entity_0318,entity_0344,0,entity_0318,entity_0344,entity_0344,entity_0318,test
pair_000004,query,entity_0981,entity_0989,1,entity_0989,entity_0981,entity_0981,entity_0989,test
pair_000005,query,entity_0001,entity_0008,1,entity_0001,entity_0008,entity_0008,entity_0001,test
pair_000006,query,entity_0365,entity_0370,1,entity_0365,entity_0370,entity_0370,entity_0365,test
pair_000007,query,entity_0364,entity_0369,1,entity_0364,entity_0369,entity_0369,entity_0364,test
pair_000008,query,entity_0074,entity_0672,0,entity_0074,entity_0672,entity_0672,entity_0074,test
pair_000009,query,entity_0457,entity_0459,1,entity_0459,entity_0457,entity_0457,entity_0459,test
pair_000010,query,entity_0031,entity_0039,1,entity_0031,entity_0039,entity_0039,entity_0031,test
pair_000011,query,entity_0656,entity_0659,1,entity_0656,entity_0659,entity_0659,entity_0656,test
pair_000012,query,entity_0284,entity_0681,0,entity_0681,entity_0284,entity_0284,entity_0681,test
pair_000013,query,entity_0111,entity_0959,0,entity_0111,entity_0959,entity_0959,entity_0111,test
pair_000014,query,entity_0195,entity_0642,0,entity_0642,entity_0195,entity_0195,entity_0642,test
pair_000015,query,entity_0230,entity_0274,0,entity_0274,entity_0230,entity_0230,entity_0274,test
pair_000016,query,entity_0468,entity_0470,1,entity_0468,entity_0470,entity_0470,entity_0468,test
pair_000017,query,entity_0849,entity_0850,1,entity_0850,entity_0849,entity_0849,entity_0850,test
pair_000018,query,entity_0353,entity_0612,0,entity_0353,entity_0612,entity_0612,entity_0353,test
pair_000019,query,entity_0635,entity_0654,0,entity_0654,entity_0635,entity_0635,entity_0654,test
pair_000020,query,entity_0546,entity_0674,0,entity_0546,entity_0674,entity_0674,entity_0546,validation
pair_000021,query,entity_0202,entity_0813,0,entity_0813,entity_0202,entity_0202,entity_0813,test
pair_000022,query,entity_0933,entity_0936,1,entity_0936,entity_0933,entity_0933,entity_0936,validation
pair_000023,query,entity_0178,entity_0280,0,entity_0178,entity_0280,entity_0280,entity_0178,test
pair_000024,query,entity_0239,entity_0793,0,entity_0239,entity_0793,entity_0793,entity_0239,test
pair_000025,query,entity_0143,entity_0148,1,entity_0143,entity_0148,entity_0148,entity_0143,test
pair_000026,query,entity_0512,entity_0923,0,entity_0512,entity_0923,entity_0923,entity_0512,test
pair_000027,query,entity_0164,entity_0344,0,entity_0344,entity_0164,entity_0164,entity_0344,test
pair_000028,query,entity_0131,entity_0139,1,entity_0131,entity_0139,entity_0139,entity_0131,test
pair_000029,query,entity_0119,entity_0868,0,entity_0119,entity_0868,entity_0868,entity_0119,validation
pair_000030,query,entity_0431,entity_0439,1,entity_0439,entity_0431,entity_0431,entity_0439,validation
pair_000031,query,entity_0525,entity_0716,0,entity_0525,entity_0716,entity_0716,entity_0525,test
pair_000032,query,entity_0786,entity_0787,1,entity_0786,entity_0787,entity_0787,entity_0786,validation
pair_000033,query,entity_0972,entity_0977,1,entity_0977,entity_0972,entity_0972,entity_0977,test
pair_000034,query,entity_0694,entity_0700,1,entity_0700,entity_0694,entity_0694,entity_0700,test
pair_000035,query,entity_0044,entity_0996,0,entity_0044,entity_0996,entity_0996,entity_0044,test
pair_000036,query,entity_0122,entity_0946,0,entity_0122,entity_0946,entity_0946,entity_0122,test
pair_000037,query,entity_0583,entity_0863,0,entity_0863,entity_0583,entity_0583,entity_0863,validation
pair_000038,query,entity_0383,entity_0694,0,entity_0383,entity_0694,entity_0694,entity_0383,test
pair_000039,query,entity_0018,entity_0362,0,entity_0018,entity_0362,entity_0362,entity_0018,test
pair_000040,query,entity_0702,entity_0710,1,entity_0710,entity_0702,entity_0702,entity_0710,test
pair_000041,query,entity_0089,entity_0760,0,entity_0089,entity_0760,entity_0760,entity_0089,test
pair_000042,query,entity_0705,entity_0709,1,entity_0709,entity_0705,entity_0705,entity_0709,validation
pair_000043,query,entity_0047,entity_0048,1,entity_0048,entity_0047,entity_0047,entity_0048,test
pair_000044,query,entity_0083,entity_0085,1,entity_0083,entity_0085,entity_0085,entity_0083,validation
pair_000045,query,entity_0123,entity_0847,0,entity_0123,entity_0847,entity_0847,entity_0123,test
pair_000046,query,entity_0555,entity_0970,0,entity_0970,entity_0555,entity_0555,entity_0970,test
pair_000047,query,entity_0118,entity_0120,1,entity_0120,entity_0118,entity_0118,entity_0120,validation
pair_000048,query,entity_0862,entity_0865,1,entity_0865,entity_0862,entity_0862,entity_0865,test
pair_000049,query,entity_0143,entity_0150,1,entity_0143,entity_0150,entity_0150,entity_0143,test
pair_000050,query,entity_0573,entity_0577,1,entity_0573,entity_0577,entity_0577,entity_0573,test
pair_000051,query,entity_0671,entity_0674,1,entity_0671,entity_0674,entity_0674,entity_0671,test
pair_000052,query,entity_0592,entity_0595,1,entity_0592,entity_0595,entity_0595,entity_0592,test
pair_000053,query,entity_0451,entity_0458,1,entity_0458,entity_0451,entity_0451,entity_0458,test
pair_000054,query,entity_0945,entity_0947,1,entity_0947,entity_0945,entity_0945,entity_0947,test
pair_000055,query,entity_0526,entity_0530,1,entity_0530,entity_0526,entity_0526,entity_0530,test
pair_000056,query,entity_0011,entity_0323,0,entity_0011,entity_0323,entity_0323,entity_0011,validation
pair_000057,query,entity_0321,entity_0877,0,entity_0321,entity_0877,entity_0877,entity_0321,test
pair_000058,query,entity_0172,entity_0418,0,entity_0418,entity_0172,entity_0172,entity_0418,test
pair_000059,query,entity_0611,entity_0619,1,entity_0619,entity_0611,entity_0611,entity_0619,test
pair_000060,query,entity_0181,entity_0187,1,entity_0181,entity_0187,entity_0187,entity_0181,validation
pair_000061,query,entity_0062,entity_0313,0,entity_0313,entity_0062,entity_0062,entity_0313,validation
pair_000062,query,entity_0857,entity_0918,0,entity_0857,entity_0918,entity_0918,entity_0857,test
pair_000063,query,entity_0501,entity_0922,0,entity_0922,entity_0501,entity_0501,entity_0922,test
pair_000064,query,entity_0345,entity_0628,0,entity_0345,entity_0628,entity_0628,entity_0345,test
pair_000065,query,entity_0853,entity_0859,1,entity_0853,entity_0859,entity_0859,entity_0853,test
pair_000066,query,entity_0207,entity_0863,0,entity_0863,entity_0207,entity_0207,entity_0863,test
pair_000067,query,entity_0548,entity_0549,1,entity_0548,entity_0549,entity_0549,entity_0548,test
pair_000068,query,entity_0952,entity_0957,1,entity_0952,entity_0957,entity_0957,entity_0952,test
pair_000069,query,entity_0024,entity_0029,1,entity_0024,entity_0029,entity_0029,entity_0024,test
pair_000070,query,entity_0586,entity_0594,0,entity_0586,entity_0594,entity_0594,entity_0586,validation
pair_000071,query,entity_0186,entity_0187,1,entity_0187,entity_0186,entity_0186,entity_0187,validation
pair_000072,query,entity_0022,entity_0366,0,entity_0022,entity_0366,entity_0366,entity_0022,validation
pair_000073,query,entity_0671,entity_0677,1,entity_0677,entity_0671,entity_0671,entity_0677,test
pair_000074,query,entity_0395,entity_0654,0,entity_0395,entity_0654,entity_0654,entity_0395,test
pair_000075,query,entity_0248,entity_0250,1,entity_0248,entity_0250,entity_0250,entity_0248,validation
pair_000076,query,entity_0066,entity_0936,0,entity_0066,entity_0936,entity_0936,entity_0066,validation
pair_000077,query,entity_0005,entity_0255,0,entity_0005,entity_0255,entity_0255,entity_0005,validation
pair_000078,query,entity_0172,entity_0175,1,entity_0175,entity_0172,entity_0172,entity_0175,test
pair_000079,query,entity_0372,entity_0373,1,entity_0372,entity_0373,entity_0373,entity_0372,test
pair_000080,query,entity_0173,entity_0464,0,entity_0173,entity_0464,entity_0464,entity_0173,validation
pair_000081,query,entity_0445,entity_0450,1,entity_0445,entity_0450,entity_0450,entity_0445,validation
pair_000082,query,entity_0567,entity_0761,0,entity_0567,entity_0761,entity_0761,entity_0567,test
pair_000083,query,entity_0287,entity_0332,0,entity_0332,entity_0287,entity_0287,entity_0332,test
pair_000084,query,entity_0836,entity_0838,1,entity_0838,entity_0836,entity_0836,entity_0838,test
pair_000085,query,entity_0231,entity_0239,1,entity_0239,entity_0231,entity_0231,entity_0239,test
pair_000086,query,entity_0356,entity_0360,1,entity_0360,entity_0356,entity_0356,entity_0360,test
pair_000087,query,entity_0222,entity_0307,0,entity_0222,entity_0307,entity_0307,entity_0222,test
pair_000088,query,entity_0838,entity_0839,1,entity_0839,entity_0838,entity_0838,entity_0839,test
pair_000089,query,entity_0663,entity_0664,1,entity_0663,entity_0664,entity_0664,entity_0663,test
pair_000090,query,entity_0282,entity_0284,1,entity_0284,entity_0282,entity_0282,entity_0284,test
pair_000091,query,entity_0194,entity_0643,0,entity_0194,entity_0643,entity_0643,entity_0194,test
pair_000092,query,entity_0493,entity_0500,1,entity_0500,entity_0493,entity_0493,entity_0500,validation
pair_000093,query,entity_0147,entity_0777,0,entity_0147,entity_0777,entity_0777,entity_0147,test
pair_000094,query,entity_0273,entity_0449,0,entity_0273,entity_0449,entity_0449,entity_0273,test
pair_000095,query,entity_0057,entity_0059,1,entity_0057,entity_0059,entity_0059,entity_0057,test
pair_000096,query,entity_0035,entity_0037,1,entity_0037,entity_0035,entity_0035,entity_0037,validation
