entity_id,internal_entity_id,hidden_group_id,group_local_index
entity_0001,internal_entity_0001,group_001,1
entity_0002,internal_entity_0002,group_001,2
entity_0003,internal_entity_0003,group_001,3
entity_0004,internal_entity_0004,group_001,4
entity_0005,internal_entity_0005,group_001,5
entity_0006,internal_entity_0006,group_001,6
entity_0007,internal_entity_0007,group_001,7
entity_0008,internal_entity_0008,group_001,8
entity_0009,internal_entity_0009,group_001,9
entity_0010,internal_entity_0010,group_001,10
entity_0011,internal_entity_0011,group_002,1
entity_0012,internal_entity_0012,group_002,2
entity_0013,internal_entity_0013,group_002,3
entity_0014,internal_entity_0014,group_002,4
entity_0015,internal_entity_0015,group_002,5
entity_0016,internal_entity_0016,group_002,6
entity_0017,internal_entity_0017,group_002,7
entity_0018,internal_entity_0018,group_002,8
entity_0019,internal_entity_0019,group_002,9
entity_0020,internal_entity_0020,group_002,10
entity_0021,internal_entity_0021,group_003,1
entity_0022,internal_entity_0022,group_003,2
entity_0023,internal_entity_0023,group_003,3
entity_0024,internal_entity_0024,group_003,4
entity_0025,internal_entity_0025,group_003,5
entity_0026,internal_entity_0026,group_003,6
entity_0027,internal_entity_0027,group_003,7
entity_0028,internal_entity_0028,group_003,8
entity_0029,internal_entity_0029,group_003,9
entity_0030,internal_entity_0030,group_003,10
entity_0031,internal_entity_0031,group_004,1
entity_0032,internal_entity_0032,group_004,2
entity_0033,internal_entity_0033,group_004,3
entity_0034,internal_entity_0034,group_004,4
entity_0035,internal_entity_0035,group_004,5
entity_0036,internal_entity_0036,group_004,6
entity_0037,internal_entity_0037,group_004,7
entity_0038,internal_entity_0038,group_004,8
entity_0039,internal_entity_0039,group_004,9
entity_0040,internal_entity_0040,group_004,10
entity_0041,internal_entity_0041,group_005,1
entity_0042,internal_entity_0042,group_005,2
entity_0043,internal_entity_0043,group_005,3
entity_0044,internal_entity_0044,group_005,4
entity_0045,internal_entity_0045,group_005,5
entity_0046,internal_entity_0046,group_005,6
entity_0047,internal_entity_0047,group_005,7
entity_0048,internal_entity_0048,group_005,8
entity_0049,internal_entity_0049,group_005,9
entity_0050,internal_entity_0050,group_005,10
entity_0051,internal_entity_0051,group_006,1
entity_0052,internal_entity_0052,group_006,2
entity_0053,internal_entity_0053,group_006,3
entity_0054,internal_entity_0054,group_006,4
entity_0055,internal_entity_0055,group_006,5
entity_0056,internal_entity_0056,group_006,6
entity_0057,internal_entity_0057,group_006,7
entity_0058,internal_entity_0058,group_006,8
entity_0059,internal_entity_0059,group_006,9
entity_0060,internal_entity_0060,group_006,10
entity_0061,internal_entity_0061,group_007,1
entity_0062,internal_entity_0062,group_007,2
entity_0063,internal_entity_0063,group_007,3
entity_0064,internal_entity_0064,group_007,4
entity_0065,internal_entity_0065,group_007,5
entity_0066,internal_entity_0066,group_007,6
entity_0067,internal_entity_0067,group_007,7
entity_0068,internal_entity_0068,group_007,8
entity_0069,internal_entity_0069,group_007,9
entity_0070,internal_entity_0070,group_007,10
entity_0071,internal_entity_0071,group_008,1
entity_0072,internal_entity_0072,group_008,2
entity_0073,internal_entity_0073,group_008,3
entity_0074,internal_entity_0074,group_008,4
entity_0075,internal_entity_0075,group_008,5
entity_0076,internal_entity_0076,group_008,6
entity_0077,internal_entity_0077,group_008,7
entity_0078,internal_entity_0078,group_008,8
entity_0079,internal_entity_0079,group_008,9
entity_0080,internal_entity_0080,group_008,10
entity_0081,internal_entity_0081,group_009,1
entity_0082,internal_entity_0082,group_009,2
entity_0083,internal_entity_0083,group_009,3
entity_0084,internal_entity_0084,group_009,4
entity_0085,internal_entity_0085,group_009,5
entity_0086,internal_entity_0086,group_009,6
entity_0087,internal_entity_0087,group_009,7
entity_0088,internal_entity_0088,group_009,8
entity_0089,internal_entity_0089,group_009,9
entity_0090,internal_entity_0090,group_009,10
entity_0091,internal_entity_0091,group_010,1
entity_0092,internal_entity_0092,group_010,2
entity_0093,internal_entity_0093,group_010,3
entity_0094,internal_entity_0094,group_010,4
entity_0095,internal_entity_0095,group_010,5
entity_0096,internal_entity_0096,group_010,6
entity_0097,internal_entity_0097,group_010,7
entity_0098,internal_entity_0098,group_010,8
entity_0099,internal_entity_0099,group_010,9
entity_0100,internal_entity_0100,group_010,10
entity_0101,internal_entity_0101,group_011,1
entity_0102,internal_entity_0102,group_011,2
entity_0103,internal_entity_0103,group_011,3
entity_0104,internal_entity_0104,group_011,4
entity_0105,internal_entity_0105,group_011,5
entity_0106,internal_entity_0106,group_011,6
entity_0107,internal_entity_0107,group_011,7
entity_0108,internal_entity_0108,group_011,8
entity_0109,internal_entity_0109,group_011,9
entity_0110,internal_entity_0110,group_011,10
entity_0111,internal_entity_0111,group_012,1
entity_0112,internal_entity_0112,group_012,2
entity_0113,internal_entity_0113,group_012,3
entity_0114,internal_entity_0114,group_012,4
entity_0115,internal_entity_0115,group_012,5
entity_0116,internal_entity_0116,group_012,6
entity_0117,internal_entity_0117,group_012,7
entity_0118,internal_entity_0118,group_012,8
entity_0119,internal_entity_0119,group_012,9
entity_0120,internal_entity_0120,group_012,10
entity_0121,internal_entity_0121,group_013,1
entity_0122,internal_entity_0122,group_013,2
entity_0123,internal_entity_0123,group_013,3
entity_0124,internal_entity_0124,group_013,4
entity_0125,internal_entity_0125,group_013,5
entity_0126,internal_entity_0126,group_013,6
entity_0127,internal_entity_0127,group_013,7
entity_0128,internal_entity_0128,group_013,8
entity_0129,internal_entity_0129,group_013,9
entity_0130,internal_entity_0130,group_013,10
entity_0131,internal_entity_0131,group_014,1
entity_0132,internal_entity_0132,group_014,2
entity_0133,internal_entity_0133,group_014,3
entity_0134,internal_entity_0134,group_014,4
entity_0135,internal_entity_0135,group_014,5
entity_0136,internal_entity_0136,group_014,6
entity_0137,internal_entity_0137,group_014,7
entity_0138,internal_entity_0138,group_014,8
entity_0139,internal_entity_0139,group_014,9
entity_0140,internal_entity_0140,group_014,10
entity_0141,internal_entity_0141,group_015,1
entity_0142,internal_entity_0142,group_015,2
entity_0143,internal_entity_0143,group_015,3
entity_0144,internal_entity_0144,group_015,4
entity_0145,internal_entity_0145,group_015,5
entity_0146,internal_entity_0146,group_015,6
entity_0147,internal_entity_0147,group_015,7
entity_0148,internal_entity_0148,group_015,8
entity_0149,internal_entity_0149,group_015,9
entity_0150,internal_entity_0150,group_015,10
entity_0151,internal_entity_0151,group_016,1
entity_0152,internal_entity_0152,group_016,2
entity_0153,internal_entity_0153,group_016,3
entity_0154,internal_entity_0154,group_016,4
entity_0155,internal_entity_0155,group_016,5
entity_0156,internal_entity_0156,group_016,6
entity_0157,internal_entity_0157,group_016,7
entity_0158,internal_entity_0158,group_016,8
entity_0159,internal_entity_0159,group_016,9
entity_0160,internal_entity_0160,group_016,10
entity_0161,internal_entity_0161,group_017,1
entity_0162,internal_entity_0162,group_017,2
entity_0163,internal_entity_0163,group_017,3
entity_0164,internal_entity_0164,group_017,4
entity_0165,internal_entity_0165,group_017,5
entity_0166,internal_entity_0166,group_017,6
entity_0167,internal_entity_0167,group_017,7
entity_0168,internal_entity_0168,group_017,8
entity_0169,internal_entity_0169,group_017,9
entity_0170,internal_entity_0170,group_017,10
entity_0171,internal_entity_0171,group_018,1
entity_0172,internal_entity_0172,group_018,2
